ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
recognition of pollen	recognition of pollen	recognition of pollen	20/202	164/35298	0.121951219512195	21.3100700313934	19.7781341348985	6.45749103852326e-21	8.65303799162117e-19	4.75815129154345e-19	LOC118484204/LOC110940556/LOC110944500/LOC110865377/LOC110867887/LOC110872478/LOC110872476/LOC110872477/LOC110869805/LOC110872526/LOC110884288/LOC110886483/LOC110890062/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110892904/LOC110910640/LOC118479363	20
catalase activity	catalase activity	catalase activity	7/202	10/35298	0.7	122.319801980198	29.1094461138749	2.1413753667989e-14	1.43472149575527e-12	7.88927766715386e-13	LOC110898783/LOC110934318/LOC110872272/LOC110894649/LOC110894758/LOC110894757/LOC110907947	7
alditol:NADP+ 1-oxidoreductase activity	alditol:NADP+ 1-oxidoreductase activity	alditol:NADP+ 1-oxidoreductase activity	7/202	16/35298	0.4375	76.4498762376238	22.9011713772239	1.98295240146576e-12	8.85718739321373e-11	4.87040940710889e-11	LOC110872872/LOC110872873/LOC110872885/LOC110870024/LOC110894617/LOC110894616/LOC110894613	7
sulfation	sulfation	sulfation	8/202	37/35298	0.216216216216216	37.7821782178218	16.9827010810357	3.35128488764018e-11	1.12268043735946e-09	6.1734195298635e-10	LOC110881406/LOC110894878/LOC110916848/LOC110917259/LOC110915187/LOC110916365/LOC110916656/LOC110916674	8
sulfotransferase activity	sulfotransferase activity	sulfotransferase activity	8/202	40/35298	0.2	34.9485148514852	16.2981274774051	6.5782673485984e-11	1.76297564942437e-09	9.69428872425027e-10	LOC110881406/LOC110894878/LOC110916848/LOC110917259/LOC110915187/LOC110916365/LOC110916656/LOC110916674	8
protein phosphatase type 2A complex	protein phosphatase type 2A complex	protein phosphatase type 2A complex	7/202	40/35298	0.175	30.5799504950495	14.2008510844344	2.87709490242457e-09	6.4255119487482e-08	3.53327444157403e-08	LOC110868293/LOC110871565/LOC110872307/LOC110889185/LOC110869096/LOC110895101/LOC110921398	7
response to hydrogen peroxide	response to hydrogen peroxide	response to hydrogen peroxide	7/202	45/35298	0.155555555555556	27.1821782178218	13.3330578237951	6.83568031025605e-09	1.30854451653473e-07	7.19545295816426e-08	LOC110898783/LOC110934318/LOC110872272/LOC110894649/LOC110894758/LOC110894757/LOC110907947	7
protein serine/threonine kinase activity	protein serine/threonine kinase activity	protein serine/threonine kinase activity	16/202	475/35298	0.0336842105263158	5.8860656591975	8.1337118665116	1.82168468070374e-08	3.05132184017877e-07	1.67786746906924e-07	LOC110928518/LOC110940556/LOC110944500/LOC110865377/LOC110867887/LOC110872478/LOC110872476/LOC110872477/LOC110872526/LOC110884288/LOC110890062/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110910640	16
enzyme regulator activity	enzyme regulator activity	enzyme regulator activity	6/202	31/35298	0.193548387096774	33.821143404663	13.8696680240816	2.13073317951458e-08	3.17242495616615e-07	1.74445991305287e-07	LOC110871596/LOC110895124/LOC110896757/LOC110896756/LOC110895122/LOC110874300	6
peroxisome	peroxisome	peroxisome	7/202	71/35298	0.0985915492957746	17.2281411239716	10.3842680944546	1.76669123372184e-07	2.15215113926115e-06	1.18342953455052e-06	LOC110898783/LOC110934318/LOC110872272/LOC110894649/LOC110894758/LOC110894757/LOC110907947	7
protein phosphatase regulator activity	protein phosphatase regulator activity	protein phosphatase regulator activity	7/202	71/35298	0.0985915492957746	17.2281411239716	10.3842680944546	1.76669123372184e-07	2.15215113926115e-06	1.18342953455052e-06	LOC110868293/LOC110871565/LOC110872307/LOC110889185/LOC110869096/LOC110895101/LOC110921398	7
clathrin adaptor complex	clathrin adaptor complex	clathrin adaptor complex	4/202	12/35298	0.333333333333333	58.2475247524753	15.0474148067119	4.97153037805549e-07	5.49530503820756e-06	3.02177024881798e-06	LOC110940972/LOC110897850/LOC110899566/LOC110919628	4
response to hormone	response to hormone	response to hormone	6/202	52/35298	0.115384615384615	20.1626047220107	10.4910043261955	5.33126608184316e-07	5.49530503820756e-06	3.02177024881798e-06	LOC110928437/LOC110929007/LOC110877618/LOC118482628/LOC110886230/LOC110894082	6
protein modification process	protein modification process	protein modification process	4/202	14/35298	0.285714285714286	49.9264497878359	13.8910343792132	9.96362685445875e-07	9.53661427498195e-06	5.24401413392566e-06	LOC110873830/LOC110908677/LOC110877719/LOC110899016	4
P-type calcium transporter activity	P-type calcium transporter activity	P-type calcium transporter activity	5/202	33/35298	0.151515151515152	26.4761476147615	11.107966312177	1.216804562535e-06	1.0870120758646e-05	5.97728557034738e-06	LOC110940629/LOC110865694/LOC110886181/LOC110902435/LOC110901606	5
protein homooligomerization	protein homooligomerization	protein homooligomerization	4/202	19/35298	0.210526315789474	36.7879103699844	11.8377940444625	3.77241131981566e-06	3.15939448034561e-05	1.73729468675721e-05	LOC110930510/LOC110897882/LOC110899586/LOC110920695	4
membrane coat	membrane coat	membrane coat	4/202	20/35298	0.2	34.9485148514852	11.5212492252913	4.69440344770175e-06	3.70029448230609e-05	2.03472595256423e-05	LOC110940972/LOC110897850/LOC110899566/LOC110919628	4
calcium ion binding	calcium ion binding	calcium ion binding	11/202	389/35298	0.0282776349614396	4.94130672707374	5.93010116936226	1.68116803556244e-05	0.000120655920499054	6.63465391589458e-05	LOC110868293/LOC110871596/LOC110872307/LOC110889185/LOC110869096/LOC110895124/LOC110896757/LOC110896756/LOC110895122/LOC110874300/LOC110921398	11
hydrogen peroxide catabolic process	hydrogen peroxide catabolic process	hydrogen peroxide catabolic process	7/202	140/35298	0.05	8.73712871287129	6.95901111508817	1.71079290259853e-05	0.000120655920499054	6.63465391589458e-05	LOC110898783/LOC110934318/LOC110872272/LOC110894649/LOC110894758/LOC110894757/LOC110907947	7
N-terminal peptidyl-methionine acetylation	N-terminal peptidyl-methionine acetylation	N-terminal peptidyl-methionine acetylation	3/202	10/35298	0.3	52.4227722772277	12.3383684625066	2.15116040732227e-05	0.000144127747290592	7.92532781645048e-05	LOC110886678/LOC110904579/LOC110914975	3
monoatomic ion homeostasis	monoatomic ion homeostasis	monoatomic ion homeostasis	3/202	11/35298	0.272727272727273	47.6570657065707	11.7414617487073	2.94536076684928e-05	0.000179399246708092	9.86484467365786e-05	LOC110941823/LOC110941287/LOC110899217	3
solute:inorganic anion antiporter activity	solute:inorganic anion antiporter activity	solute:inorganic anion antiporter activity	3/202	11/35298	0.272727272727273	47.6570657065707	11.7414617487073	2.94536076684928e-05	0.000179399246708092	9.86484467365786e-05	LOC110941823/LOC110941287/LOC110899217	3
trans-Golgi network membrane	trans-Golgi network membrane	trans-Golgi network membrane	3/202	12/35298	0.25	43.6856435643564	11.2198490289583	3.91057592120552e-05	0.000227833553670235	0.000125281608459673	LOC118483282/LOC110883168/LOC110908468	3
deSUMOylase activity	deSUMOylase activity	deSUMOylase activity	3/202	14/35298	0.214285714285714	37.4448373408769	10.3472966185423	6.41575623733e-05	0.000330658206077777	0.000181823051260364	LOC110930075/LOC110865092/LOC110921463	3
NuA4 histone acetyltransferase complex	NuA4 histone acetyltransferase complex	NuA4 histone acetyltransferase complex	3/202	14/35298	0.214285714285714	37.4448373408769	10.3472966185423	6.41575623733e-05	0.000330658206077777	0.000181823051260364	LOC110871689/LOC110936522/LOC110909355	3
protein desumoylation	protein desumoylation	protein desumoylation	3/202	14/35298	0.214285714285714	37.4448373408769	10.3472966185423	6.41575623733e-05	0.000330658206077777	0.000181823051260364	LOC110930075/LOC110865092/LOC110921463	3
mitotic sister chromatid cohesion	mitotic sister chromatid cohesion	mitotic sister chromatid cohesion	4/202	42/35298	0.0952380952380952	16.6421499292786	7.69520762762427	9.82758069882569e-05	0.000487739190238015	0.000268199083398752	LOC110890289/LOC110930350/LOC110899404/LOC110866977	4
maturation of 5.8S rRNA	maturation of 5.8S rRNA	maturation of 5.8S rRNA	3/202	17/35298	0.176470588235294	30.8369248689575	9.33520479244721	0.00011834547975617	0.000566367653118815	0.000311435473042553	LOC110868512/LOC110886229/LOC110894081	3
cellulose synthase (UDP-forming) activity	cellulose synthase (UDP-forming) activity	cellulose synthase (UDP-forming) activity	4/202	46/35298	0.0869565217391304	15.1950064571675	7.30867080615276	0.000140740261881811	0.000628639836405422	0.000345677836200939	LOC110927367/LOC110937503/LOC110940310/LOC110943205	4
plant-type primary cell wall biogenesis	plant-type primary cell wall biogenesis	plant-type primary cell wall biogenesis	4/202	46/35298	0.0869565217391304	15.1950064571675	7.30867080615276	0.000140740261881811	0.000628639836405422	0.000345677836200939	LOC110927367/LOC110937503/LOC110940310/LOC110943205	4
cellulose biosynthetic process	cellulose biosynthetic process	cellulose biosynthetic process	4/202	51/35298	0.0784313725490196	13.7052999417589	6.88850062972406	0.000210770337404703	0.000911071781039684	0.000500982126259056	LOC110927367/LOC110937503/LOC110940310/LOC110943205	4
chromatin	chromatin	chromatin	5/202	95/35298	0.0526315789473684	9.19697759249609	6.06934024005724	0.000222913520857725	0.000933450368591725	0.000513287712501341	LOC110890289/LOC110930350/LOC110899404/LOC110908467/LOC110866977	5
intracellular membrane-bounded organelle	intracellular membrane-bounded organelle	intracellular membrane-bounded organelle	6/202	167/35298	0.0359281437125748	6.27817632062607	5.18695696785224	0.000418098405685919	0.00169773292005797	0.000933553058947824	LOC110885750/LOC110940629/LOC110865694/LOC110886181/LOC110902435/LOC110901606	6
monoatomic anion transport	monoatomic anion transport	monoatomic anion transport	3/202	26/35298	0.115384615384615	20.1626047220107	7.41552569056045	0.000435643629209405	0.00171694842100177	0.00094411932026806	LOC110941823/LOC110941287/LOC110899217	3
SUMO ligase activity	SUMO ligase activity	SUMO ligase activity	2/202	10/35298	0.2	34.9485148514852	8.14559904966453	0.00142279871842266	0.00544728652196106	0.00299536572299508	LOC110864433/LOC110926486	2
glycolipid biosynthetic process	glycolipid biosynthetic process	glycolipid biosynthetic process	2/202	12/35298	0.166666666666667	29.1237623762376	7.39228325120465	0.0020710960064659	0.00770907957962307	0.00423908539335126	LOC110928684/LOC110877347	2
protein dephosphorylation	protein dephosphorylation	protein dephosphorylation	5/202	163/35298	0.0306748466257669	5.36020166433821	4.23297955739385	0.0025371551048196	0.00918861578502234	0.00505265596976877	LOC110868293/LOC110872307/LOC110889185/LOC110869096/LOC110921398	5
stress granule assembly	stress granule assembly	stress granule assembly	2/202	15/35298	0.133333333333333	23.2990099009901	6.55336306375712	0.00325791125239798	0.011488423890035	0.00631727943678278	LOC110916927/LOC110912836	2
protein folding in endoplasmic reticulum	protein folding in endoplasmic reticulum	protein folding in endoplasmic reticulum	2/202	16/35298	0.125	21.8428217821782	6.32638590572767	0.00370934522498818	0.0127449297473953	0.00700820960186701	LOC110928150/LOC110921903	2
protein homodimerization activity	protein homodimerization activity	protein homodimerization activity	2/202	18/35298	0.111111111111111	19.4158415841584	5.92897072885509	0.00469398630830184	0.0157248541328112	0.00864681688371392	LOC110922010/LOC110889683	2
calcium ion transmembrane transport	calcium ion transmembrane transport	calcium ion transmembrane transport	3/202	60/35298	0.05	8.73712871287129	4.55056783554679	0.00497193785482379	0.0162497481108875	0.00893544672240476	LOC110940629/LOC110865694/LOC110886181	3
cytoplasmic stress granule	cytoplasmic stress granule	cytoplasmic stress granule	2/202	19/35298	0.105263157894737	18.3939551849922	5.75350885172784	0.00522654652421654	0.0162873775405818	0.00895613847478967	LOC110916927/LOC110912836	2
RNA catabolic process	RNA catabolic process	RNA catabolic process	2/202	19/35298	0.105263157894737	18.3939551849922	5.75350885172784	0.00522654652421654	0.0162873775405818	0.00895613847478967	LOC110886229/LOC110894081	2
protein targeting to vacuole	protein targeting to vacuole	protein targeting to vacuole	2/202	21/35298	0.0952380952380952	16.6421499292786	5.43971367281757	0.00637054986328315	0.0190468252351657	0.0104735095558649	LOC110928518/LOC110920867	2
calmodulin binding	calmodulin binding	calmodulin binding	4/202	128/35298	0.03125	5.46070544554455	3.83564246843556	0.00639632190733177	0.0190468252351657	0.0104735095558649	LOC110929493/LOC110940629/LOC110865694/LOC110886181	4
intracellular protein transport	intracellular protein transport	intracellular protein transport	5/202	216/35298	0.0231481481481481	4.04496699669967	3.40551709577723	0.00826872746751045	0.0226949266385622	0.0124795354650382	LOC110940972/LOC110897850/LOC110899566/LOC110919628/LOC110922061	5
clathrin binding	clathrin binding	clathrin binding	2/202	24/35298	0.0833333333333333	14.5618811881188	5.04212922904899	0.00827905487414004	0.0226949266385622	0.0124795354650382	LOC110897850/LOC110899566	2
Ino80 complex	Ino80 complex	Ino80 complex	2/202	24/35298	0.0833333333333333	14.5618811881188	5.04212922904899	0.00827905487414004	0.0226949266385622	0.0124795354650382	LOC110911299/LOC110926407	2
vesicle-mediated transport	vesicle-mediated transport	vesicle-mediated transport	4/202	138/35298	0.0289855072463768	5.06500215238915	3.62987493017658	0.00829889108425037	0.0226949266385622	0.0124795354650382	LOC110940972/LOC110897850/LOC110899566/LOC110919628	4
RNA polymerase II CTD heptapeptide repeat kinase activity	RNA polymerase II CTD heptapeptide repeat kinase activity	RNA polymerase II CTD heptapeptide repeat kinase activity	2/202	25/35298	0.08	13.9794059405941	4.92514920955176	0.00896532016157141	0.0240270580330114	0.013212050764421	LOC110879958/LOC110920152	2
microtubule motor activity	microtubule motor activity	microtubule motor activity	3/202	75/35298	0.04	6.98970297029703	3.93947653534983	0.00921685202815691	0.0242168268975103	0.0133164012790709	LOC110895469/LOC110893780/LOC110904591	3
protein sumoylation	protein sumoylation	protein sumoylation	2/202	28/35298	0.0714285714285714	12.481612446959	4.61099807418438	0.0111701632476283	0.0285190078413144	0.0156820938640378	LOC110864433/LOC110926486	2
ubiquitin-dependent protein catabolic process	ubiquitin-dependent protein catabolic process	ubiquitin-dependent protein catabolic process	4/202	151/35298	0.0264900662251656	4.62894236443512	3.39031604628919	0.01127990608649	0.0285190078413144	0.0156820938640378	LOC110937565/LOC110864836/LOC110903694/LOC110885141	4
trans-Golgi network	trans-Golgi network	trans-Golgi network	4/202	153/35298	0.0261437908496732	4.56843331391963	3.35588676419169	0.0117920480288038	0.0291213682801126	0.0160133211281059	LOC110927367/LOC110937503/LOC110940310/LOC110943205	4
positive regulation of transcription elongation by RNA polymerase II	positive regulation of transcription elongation by RNA polymerase II	positive regulation of transcription elongation by RNA polymerase II	2/202	29/35298	0.0689655172413793	12.0512120177535	4.5167713737143	0.0119528004134791	0.0291213682801126	0.0160133211281059	LOC110879958/LOC110920152	2
microtubule-based movement	microtubule-based movement	microtubule-based movement	3/202	85/35298	0.0352941176470588	6.1673849737915	3.61863299650911	0.0129337004047373	0.0309484973970499	0.0170180268483385	LOC110895469/LOC110893780/LOC110904591	3
phosphorelay sensor kinase activity	phosphorelay sensor kinase activity	phosphorelay sensor kinase activity	2/202	31/35298	0.0645161290322581	11.273714468221	4.34150045571493	0.0135878487325325	0.0319433636870061	0.0175650860808361	LOC110922010/LOC110889683	2
hexosyltransferase activity	hexosyltransferase activity	hexosyltransferase activity	2/202	33/35298	0.0606060606060606	10.5904590459046	4.18157790617035	0.0153140071421865	0.0353806371905688	0.0194551814873513	LOC110928684/LOC110877347	2
cyclin-dependent protein serine/threonine kinase activity	cyclin-dependent protein serine/threonine kinase activity	cyclin-dependent protein serine/threonine kinase activity	2/202	39/35298	0.0512820512820513	8.96115765422696	3.77389057808903	0.0210166278558777	0.0477326802150443	0.0262473496861987	LOC110879958/LOC110920152	2
multicellular organism development	multicellular organism development	multicellular organism development	2/202	40/35298	0.05	8.73712871287129	3.71446911958067	0.0220406179990754	0.0492240468646018	0.0270674256128997	LOC110937565/LOC110864836	2
