ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
defense response	defense response	defense response	19/37	401/35298	0.0473815461346633	45.2019950124688	28.8364940747641	1.0788301350143e-27	2.04977725652717e-26	1.02204960159249e-26	LOC110887746/LOC110932752/LOC110935557/LOC110935564/LOC110942792/LOC110871763/LOC110869411/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110899273/LOC110871754/LOC110871753/LOC110912767/LOC110937773/LOC110865814	19
ADP binding	ADP binding	ADP binding	17/37	479/35298	0.035490605427975	33.8580375782881	23.454364966449	1.67626564008268e-22	1.59245235807855e-21	7.94020566354955e-22	LOC110887746/LOC110932752/LOC110935557/LOC110935564/LOC110942792/LOC110871763/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110899273/LOC110871754/LOC110912767/LOC110937773/LOC110865814	17
signal transduction	signal transduction	signal transduction	13/37	359/35298	0.0362116991643454	34.5459610027855	20.6944874187749	2.86678552945789e-17	1.81563083532333e-16	9.05300693513018e-17	LOC110935557/LOC110935564/LOC110942792/LOC110871763/LOC110871778/LOC110871773/LOC110871800/LOC110871799/LOC118479289/LOC110899273/LOC110871754/LOC110912767/LOC118488230	13
nuclear pore central transport channel	nuclear pore central transport channel	nuclear pore central transport channel	4/37	12/35298	0.333333333333333	318	35.5771469399487	5.02493078852505e-10	2.3868421245494e-09	1.19011518675593e-09	LOC110878441/LOC110904074/LOC110912229/LOC110921100	4
nucleocytoplasmic transport	nucleocytoplasmic transport	nucleocytoplasmic transport	4/37	15/35298	0.266666666666667	254.4	31.7974237733775	1.38255583308947e-09	5.25371216574e-09	2.61957947322216e-09	LOC110878441/LOC110904074/LOC110912229/LOC110921100	4
amino acid transmembrane transport	amino acid transmembrane transport	amino acid transmembrane transport	2/37	16/35298	0.125	119.25	15.325229610854	0.000127109623996986	0.000402513809323791	0.000200699406311031	LOC110876027/LOC110878066	2
amino acid transmembrane transporter activity	amino acid transmembrane transporter activity	amino acid transmembrane transporter activity	2/37	28/35298	0.0714285714285714	68.1428571428571	11.5132663257086	0.000397234327963862	0.0010782074616162	0.000537610368672896	LOC110876027/LOC110878066	2
catalytic step 2 spliceosome	catalytic step 2 spliceosome	catalytic step 2 spliceosome	2/37	84/35298	0.0238095238095238	22.7142857142857	6.45431204295135	0.00353063394143836	0.0083852556109161	0.00418101387801911	LOC110943476/LOC110912482	2
regulatory ncRNA-mediated post-transcriptional gene silencing	regulatory ncRNA-mediated post-transcriptional gene silencing	regulatory ncRNA-mediated post-transcriptional gene silencing	1/37	21/35298	0.0476190476190476	45.4285714285714	6.5970324600189	0.0217894725288744	0.0459999975609571	0.0229362868724994	LOC110943476	1
3-hydroxyisobutyryl-CoA hydrolase activity	3-hydroxyisobutyryl-CoA hydrolase activity	3-hydroxyisobutyryl-CoA hydrolase activity	1/37	24/35298	0.0416666666666667	39.75	6.15137806340788	0.0248642973529706	0.0472421649706441	0.0235556501238669	LOC110929138	1
