ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
M00048	De novo purine biosynthesis, PRPP + glutamine => IMP	10/111	16/1640	0.625	9.23423423423423	8.91532992038347	7.72395724004153e-09	3.16682246841703e-07	2.03262032632672e-07	110936856/110941521/110942221/110865163/110873524/110881067/110911255/110898870/110926122/110921245	10
M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	7/111	15/1640	0.466666666666667	6.8948948948949	6.177919377826	2.21178068388792e-05	0.000453415040197023	0.000291023774195778	110927370/110864886/110872393/110908540/110906814/110918538/110926456	7
M00172	C4-dicarboxylic acid cycle, NADP - malic enzyme type	7/111	17/1640	0.411764705882353	6.08373078961314	5.67538030252963	5.96289688232708e-05	0.0008149292405847	0.000523061130028691	110909141/110909114/110935576/110885880/110929879/110897458/110912914	7
M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	7/111	19/1640	0.368421052631579	5.44333807491702	5.24737225490015	0.000137832077531629	0.0014127787946992	0.000906789983760718	110927370/110864886/110872393/110908540/110906814/110918538/110926456	7
M00171	C4-dicarboxylic acid cycle, NAD - malic enzyme type	8/111	30/1640	0.266666666666667	3.93993993993994	4.37757273835939	0.000570726076489261	0.00467995382721194	0.00300382145520664	110909114/110880305/110885880/110886444/110929879/110894161/110897458/110912914	8
M00170	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	5/111	13/1640	0.384615384615385	5.68260568260568	4.56575613122693	0.00107843980217652	0.00736933864820625	0.00472999913235318	110909114/110885880/110929879/110897458/110912914	5
M00168	CAM (Crassulacean acid metabolism), dark	5/111	17/1640	0.294117647058824	4.34552199258082	3.73487708223388	0.00416319187130213	0.0243844095319125	0.0156510972605343	110909114/110885880/110929879/110897458/110912914	5
M00549	UDP-Glc biosynthesis, Glc => UDP-Glc	5/111	18/1640	0.277777777777778	4.1041041041041	3.566927885795	0.00545762755439012	0.0279703412162493	0.0179527222183885	110924102/110937310/110886932/110893760/110898440	5
M00018	Threonine biosynthesis, aspartate => homoserine => threonine	4/111	13/1640	0.307692307692308	4.54608454608455	3.45759569683117	0.00882364759175126	0.0328881410238002	0.0211092047649552	110908672/110893661/110894122/110913829	4
M00028	Ornithine biosynthesis, glutamate => ornithine	4/111	13/1640	0.307692307692308	4.54608454608455	3.45759569683117	0.00882364759175126	0.0328881410238002	0.0211092047649552	110928846/110883784/110898624/110910516	4
M00050	Guanine ribonucleotide biosynthesis, IMP => GDP,GTP	4/111	13/1640	0.307692307692308	4.54608454608455	3.45759569683117	0.00882364759175126	0.0328881410238002	0.0211092047649552	110864408/110897855/110899931/110908418	4
