ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
protein autophosphorylation	protein autophosphorylation	217/6217	387/25972	0.560723514211886	2.34246599824853	14.9266489627195	2.1171582755035e-42	1.96048856311624e-39	1.66475498084328e-39	LOC110927704/LOC110880307/LOC110882744/LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883960/LOC110933960/LOC110920415/LOC110925025/LOC110927037/LOC110927036/LOC110927249/LOC110928671/LOC110928669/LOC110931237/LOC110928705/LOC110931258/LOC110929037/LOC110931752/LOC118490601/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110873020/LOC110936845/LOC110938260/LOC110939632/LOC110943281/LOC110942887/LOC110942886/LOC110940993/LOC110871882/LOC110865963/LOC110899462/LOC110868253/LOC110889251/LOC110868452/LOC110868461/LOC110868818/LOC110871884/LOC118480906/LOC110871908/LOC110901438/LOC110865234/LOC110872959/LOC110906927/LOC110906930/LOC110870457/LOC110870459/LOC110873588/LOC110941991/LOC110873892/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110874416/LOC110875891/LOC110878478/LOC110878508/LOC110878783/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110879733/LOC110882209/LOC110885451/LOC110886353/LOC110886343/LOC110886380/LOC110886967/LOC110886970/LOC110889148/LOC110926271/LOC110890288/LOC110888060/LOC110890383/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110891100/LOC110891106/LOC110888830/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110894361/LOC110892590/LOC110894365/LOC110894677/LOC110898220/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110899486/LOC110899783/LOC110906550/LOC110906741/LOC110906862/LOC118486504/LOC110908699/LOC118486273/LOC118486305/LOC110904519/LOC110904752/LOC110907762/LOC110904746/LOC110911650/LOC110929087/LOC110912357/LOC110912388/LOC118479249/LOC110916110/LOC110908861/LOC110918063/LOC110916328/LOC118487975/LOC110912477/LOC110922612/LOC110912955/LOC110914617/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	217
recognition of pollen	recognition of pollen	117/6217	158/25972	0.740506329113924	3.09352266040644	14.8072636577854	2.43519033428319e-40	1.12749312477312e-37	9.57414305110288e-38	LOC110876521/LOC110876515/LOC110876504/LOC118484204/LOC110936809/LOC110939742/LOC110940556/LOC110941328/LOC110944500/LOC110865376/LOC110865377/LOC110865375/LOC110867887/LOC110895556/LOC110895555/LOC110893260/LOC110893258/LOC110922929/LOC110869290/LOC110872472/LOC110869793/LOC110869792/LOC118479368/LOC110872489/LOC110872488/LOC110872486/LOC110869789/LOC110872483/LOC110872484/LOC110944046/LOC110869781/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC118480939/LOC118479282/LOC110869805/LOC110869806/LOC110872526/LOC110872888/LOC110872896/LOC110872898/LOC118481126/LOC118480965/LOC110875682/LOC110884288/LOC110884733/LOC110884738/LOC110882858/LOC110886000/LOC110928063/LOC110929249/LOC110887956/LOC110887958/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC118483916/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110887980/LOC110889928/LOC110887955/LOC110889900/LOC110920837/LOC110890062/LOC110890029/LOC110888078/LOC110916902/LOC110888083/LOC110888695/LOC110888698/LOC110891037/LOC118479263/LOC110919453/LOC110894529/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110892904/LOC110897370/LOC110900405/LOC110898804/LOC110898806/LOC110907718/LOC110907112/LOC110907754/LOC110907750/LOC110907723/LOC110905143/LOC110910640/LOC110911627/LOC110911628/LOC110911868/LOC110913851/LOC110912794/LOC118479374/LOC110923065/LOC118479363/LOC110922614/LOC110926085/LOC110889899	117
protein serine/threonine kinase activity	protein serine/threonine kinase activity	227/6217	432/25972	0.525462962962963	2.19516230884254	14.0525315274948	3.2051310294969e-38	9.8931711110471e-36	8.40081711941819e-36	LOC110867987/LOC110869562/LOC110930674/LOC110876521/LOC110876515/LOC110876504/LOC110912750/LOC110913596/LOC110894166/LOC110930084/LOC110930083/LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110930447/LOC110930741/LOC110935435/LOC110933173/LOC110936137/LOC110936185/LOC110936809/LOC110936875/LOC110937690/LOC110939742/LOC110943061/LOC110940556/LOC110941328/LOC110941462/LOC110941640/LOC110864757/LOC110944500/LOC110864949/LOC110865376/LOC110865377/LOC110865375/LOC110865680/LOC110867887/LOC110895556/LOC110895555/LOC110922929/LOC110868469/LOC110868712/LOC110868968/LOC110869055/LOC110869070/LOC110869189/LOC110869290/LOC110872472/LOC110869793/LOC110869792/LOC110869791/LOC110872489/LOC110872488/LOC110872486/LOC110872483/LOC110872484/LOC110944046/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC110872526/LOC110872888/LOC110872896/LOC110872898/LOC110872923/LOC118481126/LOC110872904/LOC110870065/LOC110872939/LOC110870256/LOC110940691/LOC110875316/LOC110875314/LOC110877225/LOC110877241/LOC110877242/LOC110877246/LOC110877247/LOC118481981/LOC110877291/LOC110877292/LOC110877290/LOC118482010/LOC110865993/LOC110875682/LOC110878622/LOC110908206/LOC110879429/LOC110884288/LOC110882408/LOC110885012/LOC110885040/LOC110885400/LOC110885370/LOC110884733/LOC110884738/LOC110886000/LOC110886245/LOC110886469/LOC110886985/LOC110889761/LOC110929249/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110887980/LOC110889928/LOC110887955/LOC110889900/LOC110920837/LOC110890062/LOC110890029/LOC110888078/LOC110916902/LOC110888082/LOC110888083/LOC110890418/LOC110890888/LOC110888695/LOC110888698/LOC110891037/LOC110919453/LOC110893711/LOC110894196/LOC110894529/LOC110894640/LOC110894657/LOC110894900/LOC110894784/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110900405/LOC110897736/LOC110897735/LOC110897734/LOC110898161/LOC110901384/LOC110898804/LOC110898806/LOC110903223/LOC110901324/LOC110901724/LOC110899418/LOC110899792/LOC110900365/LOC110907978/LOC110908473/LOC110908480/LOC110906781/LOC110941994/LOC110880922/LOC110884364/LOC110912331/LOC110908601/LOC110906884/LOC110908594/LOC110908593/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110908919/LOC110903661/LOC110907412/LOC110907410/LOC110903784/LOC110903783/LOC110903782/LOC110907408/LOC110905916/LOC118486556/LOC110903780/LOC110907404/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110907718/LOC110905143/LOC110910640/LOC110911066/LOC110911627/LOC110911628/LOC110911868/LOC110913904/LOC110913905/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921/LOC110912424/LOC110912794/LOC110918506/LOC110896004/LOC110917634/LOC110916874/LOC110917324/LOC110915880/LOC110923065/LOC110926112/LOC110922295/LOC110922614/LOC110926085/LOC110889899	227
transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	179/6217	315/25972	0.568253968253968	2.37392505444621	13.7629532874892	3.27339281033401e-36	7.57790435592324e-34	6.43480112978818e-34	LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883960/LOC110933960/LOC110927037/LOC110927036/LOC110928671/LOC110928669/LOC110931237/LOC110928705/LOC110931258/LOC110929037/LOC110931752/LOC118490601/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110943281/LOC110942887/LOC110942886/LOC110868818/LOC110871884/LOC118480906/LOC110871908/LOC110901438/LOC110865234/LOC110906927/LOC110906930/LOC110870457/LOC110870459/LOC110873892/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110874416/LOC110875891/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110882209/LOC110885451/LOC110886353/LOC110886343/LOC110886380/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC110890383/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110891100/LOC110891106/LOC110888830/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110894361/LOC110892590/LOC110894365/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110899486/LOC110906550/LOC110906741/LOC110906862/LOC118486504/LOC110908699/LOC118486273/LOC110904752/LOC110907762/LOC110904746/LOC110912357/LOC110912388/LOC118479249/LOC110908861/LOC118487975/LOC110922612/LOC110912955/LOC110914617/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	179
cell surface receptor signaling pathway	cell surface receptor signaling pathway	80/6217	105/25972	0.761904761904762	3.18291627411782	12.5734641956446	1.78095807078968e-29	3.29833434710248e-27	2.80079090290503e-27	LOC110867987/LOC110894166/LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110930447/LOC110935522/LOC110933173/LOC110936661/LOC110943061/LOC110870065/LOC110872939/LOC110875316/LOC110875314/LOC110877225/LOC110877241/LOC110877242/LOC110877246/LOC110877247/LOC118481981/LOC110877291/LOC110877292/LOC118482010/LOC110878622/LOC110882408/LOC110885012/LOC110885040/LOC110897736/LOC110897735/LOC110897734/LOC110901384/LOC110900231/LOC110908473/LOC110908480/LOC110906781/LOC110941994/LOC110880922/LOC110884364/LOC110912331/LOC110908601/LOC110906884/LOC110908594/LOC110908593/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110908919/LOC110903661/LOC110907412/LOC110907410/LOC110903784/LOC110903783/LOC110903782/LOC110907408/LOC110905916/LOC118486556/LOC110903780/LOC110907404/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110913905/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921/LOC110896004/LOC110917634/LOC110916874/LOC110917324/LOC110918126/LOC110918125/LOC110923762	80
plasmodesma	plasmodesma	204/6217	416/25972	0.490384615384615	2.04861978941117	12.0952410443925	3.87001830961993e-29	5.97272825784675e-27	5.07176083734401e-27	LOC110864309/LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883960/LOC110933960/LOC110937325/LOC110937328/LOC110927037/LOC110927036/LOC110928671/LOC110928669/LOC110931237/LOC110928705/LOC110931258/LOC110929037/LOC110931752/LOC118490601/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930503/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110912606/LOC110872110/LOC110936264/LOC110936266/LOC110940307/LOC110943281/LOC110942887/LOC110942886/LOC110864409/LOC110865742/LOC110865738/LOC110865737/LOC110865732/LOC110868818/LOC110871884/LOC118480906/LOC110871908/LOC110901438/LOC110871127/LOC110865234/LOC110906927/LOC110906930/LOC110870457/LOC110870459/LOC110873892/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110874416/LOC110875891/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110882209/LOC110885451/LOC110886353/LOC110886343/LOC110886380/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC110890099/LOC110890383/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110891100/LOC110891106/LOC110888830/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891373/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110894361/LOC110892590/LOC110894365/LOC110894399/LOC110894400/LOC110894403/LOC110894404/LOC110908899/LOC110897890/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110899486/LOC110864506/LOC110906550/LOC110906741/LOC110906862/LOC118486504/LOC110908699/LOC118486273/LOC110904752/LOC110907762/LOC110904746/LOC110912357/LOC110912388/LOC118479249/LOC110908861/LOC118487975/LOC110923014/LOC110922612/LOC110912955/LOC110914617/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	204
polysaccharide binding	polysaccharide binding	58/6217	76/25972	0.763157894736842	3.1881513337792	10.7167737105553	8.26034015812335e-22	1.09272499806032e-19	9.27890841822277e-20	LOC110867987/LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110867976/LOC110872047/LOC110870065/LOC110872939/LOC110877291/LOC110877292/LOC110877290/LOC110878622/LOC110889806/LOC110885040/LOC110889428/LOC110889427/LOC110889426/LOC110889454/LOC110897736/LOC110897735/LOC110897734/LOC110908473/LOC110941994/LOC110884364/LOC110912331/LOC110908601/LOC110908594/LOC110908593/LOC110908590/LOC110908917/LOC110908919/LOC118486555/LOC110903784/LOC110903783/LOC110903782/LOC110903780/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110883265/LOC110886499/LOC110913904/LOC110911958/LOC110911981/LOC110911980/LOC110909867/LOC110913921/LOC110917634/LOC110916874/LOC110917324/LOC118488887/LOC110939771/LOC110925840/LOC110924895	58
defense response	defense response	141/6217	301/25972	0.46843853820598	1.95693834876721	9.36789612102162	2.61522812401585e-18	3.02712655354834e-16	2.57049395873663e-16	LOC110898616/LOC110873175/LOC110874242/LOC110919465/LOC110923780/LOC110923788/LOC110928690/LOC110931303/LOC110931297/LOC110928753/LOC110928964/LOC110929836/LOC110929730/LOC110929728/LOC110932078/LOC110929734/LOC110896332/LOC110930312/LOC110932752/LOC110935557/LOC110935564/LOC110935775/LOC110883529/LOC110935785/LOC110942792/LOC110941279/LOC110941662/LOC110941441/LOC110881109/LOC110940447/LOC110865950/LOC110945094/LOC110871763/LOC110869411/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110872913/LOC110875213/LOC110875209/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875225/LOC110877148/LOC110877147/LOC110875240/LOC110877146/LOC110875237/LOC110934038/LOC110875248/LOC110875244/LOC110877151/LOC110877152/LOC110877161/LOC110874099/LOC110875259/LOC110925486/LOC110924474/LOC110875323/LOC110877208/LOC110875300/LOC110877202/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110875281/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110877197/LOC110875289/LOC110875286/LOC110875284/LOC110877223/LOC110877227/LOC110877237/LOC110875407/LOC110877256/LOC110875390/LOC110877300/LOC110875384/LOC110875463/LOC110874204/LOC110874159/LOC110875468/LOC110931388/LOC110875549/LOC110875479/LOC110877400/LOC110877402/LOC110875482/LOC110877534/LOC110930759/LOC110880072/LOC110885724/LOC110884789/LOC110928333/LOC110930805/LOC110893837/LOC110894284/LOC110894600/LOC110899273/LOC110903571/LOC110908190/LOC110907708/LOC110913520/LOC110871754/LOC110912767/LOC110915815/LOC110917386/LOC110937773/LOC110916917/LOC110910157/LOC110916295/LOC110907734/LOC110904694/LOC110915087/LOC110915177/LOC110915459/LOC110922514/LOC110922630/LOC110923132/LOC110922662/LOC110922731/LOC110923439/LOC110921254/LOC110921255/LOC110921256/LOC110922091/LOC110922092/LOC110926390	141
calmodulin binding	calmodulin binding	67/6217	110/25972	0.609090909090909	2.54452454413851	9.1066019882037	1.46640358833751e-16	1.50876635866726e-14	1.28117366138961e-14	LOC110866564/LOC110927704/LOC110880307/LOC110882744/LOC110920415/LOC110925025/LOC110927249/LOC110929493/LOC110873020/LOC110936845/LOC110938260/LOC110939632/LOC110940219/LOC110940993/LOC110871882/LOC110865536/LOC110865694/LOC110878379/LOC110932466/LOC110910227/LOC110900869/LOC110865963/LOC110899462/LOC110916604/LOC110868253/LOC110889251/LOC110868452/LOC110868461/LOC110872959/LOC110873588/LOC110941991/LOC110873685/LOC110877854/LOC110878478/LOC110878508/LOC110878783/LOC110895175/LOC110879349/LOC110879733/LOC110879780/LOC110879778/LOC110885343/LOC110885460/LOC110886181/LOC110886655/LOC110889148/LOC110889267/LOC110890288/LOC110921049/LOC110894677/LOC110895438/LOC110925729/LOC110898220/LOC110899783/LOC118486305/LOC110904519/LOC110911027/LOC110911650/LOC110929087/LOC110916110/LOC118488472/LOC110918063/LOC110916842/LOC110916328/LOC110912477/LOC110923056/LOC110926289	67
ABC-type transporter activity	ABC-type transporter activity	91/6217	174/25972	0.522988505747126	2.1848250717813	8.79694938808814	5.56622611445815e-16	5.15432538198825e-14	4.3768114815792e-14	LOC110899387/LOC110899389/LOC110899391/LOC110899390/LOC110941576/LOC110864025/LOC110880270/LOC110881735/LOC110908714/LOC110908303/LOC118486884/LOC110909497/LOC110885363/LOC110917695/LOC110917217/LOC110929775/LOC110929737/LOC110929738/LOC110935527/LOC110935548/LOC110935549/LOC110935627/LOC110937000/LOC110936966/LOC110941385/LOC110943953/LOC110864936/LOC110865056/LOC110865503/LOC110865962/LOC110868604/LOC110868308/LOC110921955/LOC110869534/LOC110873281/LOC110873432/LOC110878293/LOC110878782/LOC110880092/LOC110880093/LOC110880086/LOC110880160/LOC110880159/LOC110880158/LOC110880157/LOC110880211/LOC110884252/LOC110884254/LOC110884351/LOC110884350/LOC110884357/LOC110884361/LOC110884383/LOC110885676/LOC110885681/LOC110885679/LOC110885680/LOC110890036/LOC110890707/LOC110891091/LOC110891291/LOC110895813/LOC110898225/LOC110898479/LOC110903104/LOC110899238/LOC110899229/LOC110899319/LOC110904463/LOC110904649/LOC110905142/LOC110905141/LOC110909968/LOC118487252/LOC110909967/LOC110909966/LOC110911317/LOC110909965/LOC110911328/LOC110911781/LOC110911782/LOC110918014/LOC110864657/LOC110864658/LOC110940927/LOC110915785/LOC118488026/LOC110920727/LOC110909969/LOC110924194/LOC110921786	91
