ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
terpene synthase activity	terpene synthase activity	46/1782	72/25972	0.638888888888889	9.31157251527622	19.1681330941144	8.1808784247623e-36	4.76945212163642e-33	3.72014682052349e-33	LOC110943018/LOC110864314/LOC110864605/LOC118489896/LOC110864635/LOC110914415/LOC110928585/LOC110928588/LOC110929184/LOC110929414/LOC110929415/LOC110885547/LOC110882043/LOC110937991/LOC110940074/LOC110940059/LOC110940080/LOC110940058/LOC110909354/LOC110915318/LOC110868393/LOC110940690/LOC110917685/LOC110929769/LOC110879759/LOC110876880/LOC110884117/LOC110893972/LOC110898267/LOC110898279/LOC110898278/LOC110898283/LOC110908492/LOC110908283/LOC110877556/LOC110910286/LOC110912252/LOC110912253/LOC110912423/LOC110918013/LOC110918028/LOC110920074/LOC110917813/LOC110918153/LOC110922746/LOC110921961	46
diterpenoid biosynthetic process	diterpenoid biosynthetic process	34/1782	52/25972	0.653846153846154	9.52956919623586	16.7105799187375	2.57293350607877e-27	7.5001011702196e-25	5.8500382875054e-25	LOC110943018/LOC110864314/LOC110864635/LOC110914415/LOC110929184/LOC110929414/LOC110929415/LOC110885547/LOC110882043/LOC110937991/LOC110940074/LOC110940059/LOC110940080/LOC110940058/LOC110909354/LOC110915318/LOC110868393/LOC110940690/LOC110917685/LOC110929769/LOC110879759/LOC110876880/LOC110893972/LOC110898267/LOC110898279/LOC110898278/LOC110898283/LOC110908492/LOC110908283/LOC110877556/LOC110912252/LOC110912253/LOC110912423/LOC110921961	34
ADP binding	ADP binding	101/1782	447/25972	0.225950782997763	3.29315024467895	13.2734448019112	4.40339057899987e-27	8.55725569185641e-25	6.67461308816822e-25	LOC110923780/LOC110927193/LOC110927184/LOC110900634/LOC110927186/LOC110926628/LOC110927210/LOC110927215/LOC110927243/LOC110927551/LOC110928753/LOC110935528/LOC110932751/LOC110935571/LOC110942792/LOC110942986/LOC110871763/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110877227/LOC110877256/LOC110875390/LOC110877300/LOC110875384/LOC110877534/LOC110890488/LOC110899273/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110899972/LOC110900300/LOC110900299/LOC110900295/LOC118485531/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110902303/LOC110893159/LOC110902350/LOC110913233/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479251/LOC118479332/LOC110908973/LOC110902252/LOC110902247/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900673/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110902365/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC110911644/LOC110911509/LOC110911510/LOC110911512/LOC110871754/LOC110912767/LOC110922483/LOC118489208/LOC110929094	101
magnesium ion binding	magnesium ion binding	59/1782	192/25972	0.307291666666667	4.4786639543584	13.1311235232956	1.90746292809021e-23	2.78012721769149e-21	2.16848417088151e-21	LOC110943018/LOC110864314/LOC118489896/LOC110864635/LOC110911321/LOC110914415/LOC110928585/LOC110928588/LOC110929184/LOC110929414/LOC110929415/LOC110929934/LOC110885547/LOC110882043/LOC110937991/LOC110940074/LOC110940059/LOC110940080/LOC110940058/LOC110909354/LOC110915318/LOC110865665/LOC110879910/LOC110868393/LOC110872136/LOC110940690/LOC110917685/LOC110929769/LOC110878289/LOC110879759/LOC110876880/LOC110879918/LOC110884117/LOC110893972/LOC110894557/LOC110916418/LOC110895711/LOC110898267/LOC110898279/LOC110898278/LOC110898283/LOC110908492/LOC110908283/LOC110877556/LOC110903659/LOC110910286/LOC110910525/LOC110912252/LOC110912253/LOC110912423/LOC110915373/LOC110918013/LOC110918028/LOC110920074/LOC110917813/LOC110918153/LOC110914979/LOC110922746/LOC110921961	59
defense response to other organism	defense response to other organism	63/1782	251/25972	0.250996015936255	3.65817537929092	11.4856828201627	7.97001199124203e-20	9.2930339817882e-18	7.24851616887696e-18	LOC110942986/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110899972/LOC110900300/LOC110900299/LOC110900295/LOC118485531/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110893159/LOC110902350/LOC110913233/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479251/LOC118479332/LOC110908973/LOC110902252/LOC110902247/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900673/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110902365/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC118489208/LOC110929094	63
gibberellin biosynthetic process	gibberellin biosynthetic process	17/1782	23/25972	0.739130434782609	10.7725564827014	12.7260037240631	1.04488749007752e-15	1.01528234452532e-13	7.91914729321906e-14	LOC110928585/LOC110928588/LOC110934097/LOC110899628/LOC110899627/LOC110879488/LOC110879533/LOC118479237/LOC110884117/LOC110879531/LOC110910286/LOC110918013/LOC110918028/LOC110920074/LOC110917813/LOC110918153/LOC110922746	17
hydroquinone:oxygen oxidoreductase activity	hydroquinone:oxygen oxidoreductase activity	18/1782	30/25972	0.6	8.74478114478114	11.5198891853225	4.081576186803e-14	2.97444864613268e-12	2.32005383249855e-12	LOC110868508/LOC110923390/LOC110909872/LOC110909902/LOC118480606/LOC118479261/LOC110872736/LOC110872735/LOC110895267/LOC110878146/LOC110908976/LOC110908975/LOC110908972/LOC110904806/LOC110911833/LOC110918149/LOC110925074/LOC110921275	18
lignin catabolic process	lignin catabolic process	18/1782	30/25972	0.6	8.74478114478114	11.5198891853225	4.081576186803e-14	2.97444864613268e-12	2.32005383249855e-12	LOC110868508/LOC110923390/LOC110909872/LOC110909902/LOC118480606/LOC118479261/LOC110872736/LOC110872735/LOC110895267/LOC110878146/LOC110908976/LOC110908975/LOC110908972/LOC110904806/LOC110911833/LOC110918149/LOC110925074/LOC110921275	18
cell surface receptor signaling pathway	cell surface receptor signaling pathway	32/1782	105/25972	0.304761904761905	4.44179359734915	9.59150355571703	2.97033342620845e-13	1.92411598608836e-11	1.50080004692637e-11	LOC110878922/LOC110877291/LOC110877292/LOC118482010/LOC110908473/LOC110906781/LOC110912331/LOC110908601/LOC110906884/LOC110908594/LOC110908593/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110908919/LOC110903661/LOC110907412/LOC110907410/LOC110903783/LOC110903782/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110913905/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921	32
polysaccharide binding	polysaccharide binding	25/1782	76/25972	0.328947368421053	4.794287908323	8.99085485310469	1.76780665161569e-11	1.01695448849096e-09	7.93218992557721e-10	LOC110921565/LOC110872047/LOC110877291/LOC110877292/LOC110877290/LOC110908473/LOC110912331/LOC110908601/LOC118486512/LOC110908594/LOC110908593/LOC110908590/LOC110908917/LOC110908919/LOC118486555/LOC110903783/LOC110903782/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110911981/LOC110911980/LOC110909867/LOC110913921	25
