ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
ADP binding	ADP binding	216/2955	447/25972	0.483221476510067	4.24711613804381	24.8123231203407	5.64676443222076e-86	3.91885451596121e-83	3.29295525836874e-83	LOC110916138/LOC110875074/LOC110875061/LOC110887746/LOC110913177/LOC110913219/LOC110913133/LOC110927193/LOC110927184/LOC110900634/LOC110927186/LOC110926628/LOC110927210/LOC110927215/LOC110927243/LOC110930149/LOC110935505/LOC110935398/LOC110935424/LOC110935532/LOC110935419/LOC110935529/LOC110935528/LOC110932751/LOC110932760/LOC110935571/LOC110935702/LOC110883529/LOC110936738/LOC110942792/LOC110942986/LOC110941279/LOC110944095/LOC110944455/LOC110866856/LOC110871763/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110865234/LOC110941878/LOC110875213/LOC110875209/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110877148/LOC110875240/LOC110877146/LOC110875248/LOC110875244/LOC110877152/LOC110877161/LOC110875259/LOC110925486/LOC110875323/LOC110877208/LOC110875300/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110877197/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877237/LOC110877402/LOC110890488/LOC110891158/LOC110900625/LOC110899273/LOC110899499/LOC110899661/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110902034/LOC110899868/LOC110899940/LOC110899943/LOC110902132/LOC110902134/LOC110899968/LOC110902117/LOC110902116/LOC110899966/LOC110921543/LOC118485512/LOC110899951/LOC110900021/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110924277/LOC110900057/LOC110902167/LOC110900066/LOC110900094/LOC110900300/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110900250/LOC110902303/LOC110900247/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC118479247/LOC118479246/LOC110902342/LOC110902340/LOC110902339/LOC118485934/LOC110900308/LOC110875961/LOC110930179/LOC110913241/LOC110886338/LOC110865943/LOC118479251/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900181/LOC110900180/LOC118485938/LOC110902240/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900162/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927201/LOC110900360/LOC110902365/LOC110900364/LOC110902369/LOC118486345/LOC118486410/LOC110905206/LOC110904715/LOC110910874/LOC110913520/LOC110911509/LOC110911510/LOC110911512/LOC110911567/LOC110911588/LOC110911587/LOC110911583/LOC110911710/LOC110871754/LOC110894248/LOC110912767/LOC110915844/LOC110889873/LOC110937773/LOC110917154/LOC110910157/LOC110916295/LOC110907734/LOC110904694/LOC110919951/LOC110915087/LOC110915177/LOC110920038/LOC110921209/LOC110920725/LOC110922050/LOC110920722/LOC110922483/LOC110923047/LOC118489208/LOC118489712/LOC110929094	216
transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	172/2955	315/25972	0.546031746031746	4.79916633094298	24.3074481170486	3.29408360407045e-79	1.14304701061245e-76	9.60485429818438e-77	LOC110883969/LOC110927037/LOC110927036/LOC110931256/LOC110928671/LOC110928669/LOC110931237/LOC110929037/LOC110931752/LOC110932241/LOC110930072/LOC110930074/LOC110928125/LOC110932838/LOC110942887/LOC110942886/LOC110865968/LOC110901438/LOC110865234/LOC110870457/LOC110870459/LOC110875442/LOC118481688/LOC110877355/LOC110874193/LOC110877352/LOC110877402/LOC110875886/LOC110875888/LOC110875891/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC110882946/LOC118482728/LOC110886101/LOC110886353/LOC110886847/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888839/LOC110891100/LOC110891077/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889013/LOC110889032/LOC110894140/LOC110894135/LOC110892459/LOC110897308/LOC110899275/LOC110899329/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901749/LOC110899378/LOC110899377/LOC110899368/LOC110899367/LOC110899486/LOC110906550/LOC110908315/LOC110916153/LOC110906862/LOC118486504/LOC110908605/LOC110908553/LOC110908713/LOC110904752/LOC110907762/LOC110912357/LOC110912388/LOC110917486/LOC118479249/LOC110918966/LOC110908861/LOC118487975/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	172
protein autophosphorylation	protein autophosphorylation	186/2955	387/25972	0.48062015503876	4.22425267907501	22.89763146126	1.63887106836124e-73	3.79125507147567e-71	3.1857353399022e-71	LOC110927704/LOC110883969/LOC110927037/LOC110927036/LOC110931256/LOC110928671/LOC110928669/LOC110931237/LOC110929037/LOC110931752/LOC110929059/LOC110932241/LOC110930072/LOC110930074/LOC110928125/LOC110930824/LOC110932838/LOC110939632/LOC110942887/LOC110942886/LOC110865968/LOC110865963/LOC110901438/LOC110865234/LOC110872972/LOC110870457/LOC110870459/LOC110873588/LOC110875442/LOC118481688/LOC110877355/LOC110874193/LOC110877352/LOC110877402/LOC110875886/LOC110875888/LOC110875891/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110885027/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC110882946/LOC118482728/LOC110886101/LOC110886353/LOC110886847/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888839/LOC110891100/LOC110891077/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889013/LOC110889032/LOC110894140/LOC110894135/LOC110892459/LOC110897308/LOC110899275/LOC110899329/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901749/LOC110899378/LOC110899377/LOC110899368/LOC110899367/LOC110899486/LOC110899783/LOC110906550/LOC110908315/LOC110916153/LOC110906862/LOC118486504/LOC110908605/LOC110908553/LOC110908713/LOC110904752/LOC110907762/LOC110909911/LOC110910790/LOC110912357/LOC110912388/LOC110917486/LOC118479249/LOC110918966/LOC110908861/LOC110916330/LOC110918063/LOC110916328/LOC118487975/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	186
plasmodesma	plasmodesma	178/2955	416/25972	0.427884615384615	3.76075100872055	20.3388402396243	1.15567508953809e-60	2.00509628034859e-58	1.68485263053712e-58	LOC110883969/LOC110927037/LOC110927036/LOC110931256/LOC110928671/LOC110928669/LOC110931237/LOC110929037/LOC110931752/LOC110932241/LOC110930072/LOC110930074/LOC110928125/LOC110932838/LOC110942887/LOC110942886/LOC110865968/LOC110940982/LOC110901438/LOC110872682/LOC110865234/LOC110870457/LOC110870459/LOC110875442/LOC118481688/LOC110877355/LOC110874193/LOC110877352/LOC110877402/LOC110875886/LOC110875888/LOC110875891/LOC110878075/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110910010/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC110882946/LOC118482728/LOC110886101/LOC110886353/LOC110886847/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888839/LOC110891100/LOC110891077/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889013/LOC110889032/LOC110894140/LOC110894135/LOC110892459/LOC110897308/LOC110899275/LOC110899329/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901749/LOC110899378/LOC110899377/LOC110899368/LOC110899367/LOC110899486/LOC110906550/LOC110908315/LOC110916153/LOC110906862/LOC118486504/LOC110908605/LOC110908553/LOC110908713/LOC110903735/LOC110904752/LOC110907762/LOC110912357/LOC110912388/LOC110914646/LOC110917486/LOC118479249/LOC110918966/LOC110908861/LOC118487975/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	178
defense response to other organism	defense response to other organism	122/2955	251/25972	0.48605577689243	4.27202728847722	18.6641653325949	4.16823148598658e-49	5.78550530254937e-47	4.86147419628751e-47	LOC110916138/LOC110930149/LOC110920960/LOC110923440/LOC110922691/LOC110923341/LOC110942986/LOC110941913/LOC110943972/LOC110941831/LOC110944455/LOC110866856/LOC110870080/LOC110941878/LOC110878962/LOC110879476/LOC110879536/LOC110879534/LOC118482222/LOC110879480/LOC110891158/LOC110878139/LOC110901872/LOC110901869/LOC110901866/LOC110900625/LOC110899499/LOC110899661/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110902034/LOC110899868/LOC110899940/LOC110899943/LOC110902132/LOC110899968/LOC110902117/LOC110902116/LOC110899966/LOC110921543/LOC118485512/LOC110899951/LOC110900021/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110900057/LOC110902167/LOC110900066/LOC110900094/LOC110900300/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110900250/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC118479247/LOC118479246/LOC110902339/LOC118485934/LOC110900308/LOC110875961/LOC110930179/LOC110913241/LOC110886338/LOC110865943/LOC118479251/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900180/LOC118485938/LOC110902240/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927201/LOC110900360/LOC110902365/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC110921209/LOC110920725/LOC110922050/LOC110920722/LOC118489208/LOC118489712/LOC110929094	122
protein serine/threonine kinase activity	protein serine/threonine kinase activity	119/2955	432/25972	0.275462962962963	2.42109105721627	10.672153257331	1.20653520623841e-20	1.39555905521576e-18	1.17266755132646e-18	LOC110944227/LOC110882950/LOC110928518/LOC110928593/LOC110929377/LOC110930084/LOC110930083/LOC110930886/LOC110933224/LOC110936449/LOC110936453/LOC110937915/LOC110938065/LOC110940671/LOC110940556/LOC110864929/LOC110865386/LOC118479555/LOC110865466/LOC110865594/LOC110868469/LOC110868652/LOC110869189/LOC110872472/LOC110869792/LOC110872489/LOC110872488/LOC110872486/LOC110872483/LOC110872484/LOC110872896/LOC110872898/LOC110872923/LOC118481126/LOC110872904/LOC110873670/LOC110877153/LOC110875316/LOC110877241/LOC110877242/LOC110877246/LOC110877247/LOC118481981/LOC110877291/LOC110877292/LOC110877290/LOC110908206/LOC110884082/LOC110882408/LOC110885584/LOC110881622/LOC110885012/LOC110885098/LOC110884735/LOC110884733/LOC110884738/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110920837/LOC110890029/LOC110888078/LOC110916902/LOC110888082/LOC110888083/LOC110890888/LOC110894657/LOC110892910/LOC110886482/LOC110897368/LOC110900405/LOC110898161/LOC110903223/LOC110901724/LOC110899418/LOC110899969/LOC110908594/LOC110908593/LOC110908590/LOC110903784/LOC110903783/LOC110907408/LOC110905916/LOC118486556/LOC110903780/LOC110907404/LOC110903832/LOC110903830/LOC110904067/LOC110904183/LOC110907717/LOC110910640/LOC118487308/LOC110911884/LOC110911885/LOC118487489/LOC110911981/LOC110911980/LOC110912424/LOC110918506/LOC110917989/LOC110920829/LOC110915714/LOC110915551/LOC110921925/LOC110889899	119
chromatin DNA binding	chromatin DNA binding	32/2955	50/25972	0.64	5.62506937394247	11.7291818654954	1.20632007294433e-18	1.1959801866048e-16	1.00496439159572e-16	LOC110864993/LOC110929783/LOC110929926/LOC118490192/LOC110929997/LOC110929996/LOC110929995/LOC118490524/LOC110932215/LOC110929991/LOC110929993/LOC110929990/LOC110936842/LOC110941377/LOC110939651/LOC110871933/LOC110879368/LOC110889535/LOC110889539/LOC110922488/LOC110899045/LOC110899050/LOC110899138/LOC110908467/LOC110908742/LOC110905007/LOC110905013/LOC110905014/LOC118486786/LOC110906282/LOC110911866/LOC110918397	32
defense response	defense response	90/2955	301/25972	0.299003322259136	2.62799129804206	10.1791767033183	2.05227014629234e-18	1.78034435190861e-16	1.49599692242889e-16	LOC110875074/LOC110875061/LOC110887746/LOC110913177/LOC110913219/LOC110913133/LOC110935505/LOC110935398/LOC110935424/LOC110935532/LOC110935419/LOC110935529/LOC110935528/LOC110932751/LOC110932760/LOC110935571/LOC118491403/LOC110935702/LOC110883529/LOC110936916/LOC110942792/LOC110941279/LOC110941662/LOC110941441/LOC110871763/LOC110869411/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110875213/LOC110875209/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC118481941/LOC110877148/LOC110877147/LOC110875240/LOC110877146/LOC110875248/LOC110875244/LOC110877152/LOC110877161/LOC110875259/LOC110925486/LOC110875323/LOC110877208/LOC110875300/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110877197/LOC110875289/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877237/LOC110877402/LOC110899273/LOC110913520/LOC118479342/LOC110871754/LOC110871753/LOC110894248/LOC110912767/LOC110937773/LOC110910157/LOC110916295/LOC110907734/LOC110904694/LOC110919951/LOC110915087/LOC110915177/LOC110915459/LOC110920038/LOC110915164/LOC110921318	90
signal transduction	signal transduction	91/2955	327/25972	0.2782874617737	2.44591605996161	9.42788607646777	2.086457873119e-16	1.60889084882732e-14	1.35192708971687e-14	LOC110875074/LOC110875061/LOC110913177/LOC110913219/LOC110913133/LOC110928593/LOC110935505/LOC110935398/LOC110935532/LOC110935529/LOC110935528/LOC110932751/LOC110935571/LOC110935702/LOC110883529/LOC110937387/LOC110938065/LOC110942792/LOC110941279/LOC110940392/LOC110865466/LOC110865594/LOC110868469/LOC110868674/LOC110868652/LOC110871763/LOC110871778/LOC110869417/LOC110871773/LOC110871800/LOC110871799/LOC110872303/LOC118479289/LOC110873670/LOC110875213/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110877148/LOC110875240/LOC110877146/LOC110875244/LOC110877152/LOC110877161/LOC110877153/LOC110875323/LOC110898036/LOC110874027/LOC110877005/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877200/LOC110877198/LOC110877197/LOC110875284/LOC110877223/LOC110877237/LOC110877402/LOC110877801/LOC110885946/LOC110886097/LOC110886219/LOC110890888/LOC110869074/LOC110869075/LOC110898161/LOC110899273/LOC110904067/LOC110904112/LOC118487308/LOC110911248/LOC110913520/LOC110911662/LOC110871754/LOC110894248/LOC110912767/LOC110917486/LOC110917989/LOC118488230/LOC110910157/LOC110916295/LOC110907734/LOC110904694/LOC110915087/LOC110915177/LOC110920038/LOC110924649	91
negative regulation of transcription by RNA polymerase II	negative regulation of transcription by RNA polymerase II	20/2955	34/25972	0.588235294117647	5.17010052752065	8.71799187555544	3.53307378760496e-11	2.45195320859784e-09	2.06033987192963e-09	LOC110881881/LOC110881796/LOC110881846/LOC110933011/LOC110936649/LOC110940557/LOC110864601/LOC110896141/LOC110879252/LOC110881555/LOC110889965/LOC110898721/LOC110899997/LOC110899996/LOC110903922/LOC110911159/LOC110912026/LOC110912947/LOC110921400/LOC110921203	20
