ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
defense response to other organism	defense response to other organism	82/710	251/25972	0.326693227091633	11.9505302732731	29.2258890512042	3.73068905652716e-65	1.30574116978451e-62	9.22854661351455e-63	LOC110942986/LOC110866856/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110900057/LOC110900066/LOC110900300/LOC110900299/LOC110900294/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC110902339/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110913241/LOC110886338/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900667/LOC110894040/LOC118479248/LOC110900360/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC118489208/LOC110929094	82
ADP binding	ADP binding	88/710	447/25972	0.196868008948546	7.20148722311498	22.1720773251429	1.7825200372264e-49	3.11941006514621e-47	2.20469583551687e-47	LOC110928898/LOC110942986/LOC110866856/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110900057/LOC110900066/LOC110900300/LOC110900299/LOC110900294/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902303/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC110902342/LOC110902341/LOC110902340/LOC110902339/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110913241/LOC110886338/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110900181/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900667/LOC110894040/LOC118479248/LOC110900360/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC118489208/LOC110929094	88
positive regulation of telomerase activity	positive regulation of telomerase activity	10/710	11/25972	0.909090909090909	33.2548015364917	17.9378196445296	2.35097341275864e-15	2.05710173616381e-13	1.45389145262706e-13	LOC110889143/LOC110887526/LOC110889037/LOC110889145/LOC110891596/LOC110887528/LOC110887530/LOC110891597/LOC110891598/LOC110940247	10
preribosome binding	preribosome binding	10/710	11/25972	0.909090909090909	33.2548015364917	17.9378196445296	2.35097341275864e-15	2.05710173616381e-13	1.45389145262706e-13	LOC110889143/LOC110887526/LOC110889037/LOC110889145/LOC110891596/LOC110887528/LOC110887530/LOC110891597/LOC110891598/LOC110940247	10
oxidoreductase activity, acting on CH-OH group of donors	oxidoreductase activity, acting on CH-OH group of donors	11/710	20/25972	0.55	20.1191549295775	14.3396291271281	7.92454379311767e-13	5.54718065518237e-11	3.9205637713319e-11	LOC110929308/LOC110929307/LOC110929300/LOC110929299/LOC110916839/LOC110886885/LOC110886886/LOC118490389/LOC110917615/LOC110877524/LOC110877473	11
(1->3)-beta-D-glucan biosynthetic process	(1->3)-beta-D-glucan biosynthetic process	9/710	14/25972	0.642857142857143	23.5158953722334	14.1272382936936	1.43660998331889e-11	6.28516867702015e-10	4.44214929052552e-10	LOC110873940/LOC110876653/LOC110936412/LOC110937292/LOC110868476/LOC110866873/LOC110904356/LOC110926037/LOC110926299	9
1,3-beta-D-glucan synthase activity	1,3-beta-D-glucan synthase activity	9/710	14/25972	0.642857142857143	23.5158953722334	14.1272382936936	1.43660998331889e-11	6.28516867702015e-10	4.44214929052552e-10	LOC110873940/LOC110876653/LOC110936412/LOC110937292/LOC110868476/LOC110866873/LOC110904356/LOC110926037/LOC110926299	9
1,3-beta-D-glucan synthase complex	1,3-beta-D-glucan synthase complex	9/710	14/25972	0.642857142857143	23.5158953722334	14.1272382936936	1.43660998331889e-11	6.28516867702015e-10	4.44214929052552e-10	LOC110873940/LOC110876653/LOC110936412/LOC110937292/LOC110868476/LOC110866873/LOC110904356/LOC110926037/LOC110926299	9
cellulose synthase (UDP-forming) activity	cellulose synthase (UDP-forming) activity	12/710	45/25972	0.266666666666667	9.75474178403756	9.8540125140895	1.9991870086217e-09	6.99715453017595e-08	4.94535733711684e-08	LOC110937503/LOC110938148/LOC110938151/LOC110938153/LOC110938152/LOC110938154/LOC110942291/LOC110877829/LOC110893330/LOC110910338/LOC110915073/LOC110918766	12
plant-type primary cell wall biogenesis	plant-type primary cell wall biogenesis	12/710	45/25972	0.266666666666667	9.75474178403756	9.8540125140895	1.9991870086217e-09	6.99715453017595e-08	4.94535733711684e-08	LOC110937503/LOC110938148/LOC110938151/LOC110938153/LOC110938152/LOC110938154/LOC110942291/LOC110877829/LOC110893330/LOC110910338/LOC110915073/LOC110918766	12
