ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
defense response to other organism	defense response to other organism	174/3254	251/25972	0.693227091633466	5.53303442652255	27.3117806746349	8.94095408544356e-98	6.76830224268077e-95	5.36457245126614e-95	LOC110916138/LOC110933461/LOC110883097/LOC110933478/LOC110933485/LOC118491660/LOC110886607/LOC110886608/LOC110886603/LOC110883327/LOC110886619/LOC110886615/LOC110886605/LOC118480967/LOC110936595/LOC110936593/LOC110933489/LOC110934723/LOC110883130/LOC110933512/LOC110864770/LOC110883768/LOC110883569/LOC118481081/LOC118481089/LOC110884160/LOC110934100/LOC118490507/LOC110930149/LOC110942986/LOC110935603/LOC110866856/LOC110872916/LOC110941878/LOC110873504/LOC110873500/LOC110873528/LOC110891158/LOC110894014/LOC110907599/LOC110904368/LOC110904369/LOC110904370/LOC110907601/LOC110897554/LOC110900625/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110901983/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110902034/LOC110899868/LOC110899940/LOC110902093/LOC110902094/LOC110902095/LOC110902096/LOC110899943/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110899972/LOC110899968/LOC118485509/LOC110902117/LOC110902116/LOC110899966/LOC110923178/LOC110921543/LOC118485512/LOC110899948/LOC110899951/LOC110899903/LOC110900021/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110900057/LOC110902167/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902339/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110913241/LOC110886338/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110902365/LOC110900361/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC110919752/LOC118489208/LOC118489712/LOC110929094	174
ADP binding	ADP binding	231/3254	447/25972	0.516778523489933	4.12469938908437	25.2201224877243	5.56108703258953e-91	2.10487144183514e-88	1.66832610977686e-88	LOC110916138/LOC110933461/LOC110883097/LOC110933478/LOC110933485/LOC118491660/LOC110886607/LOC110886608/LOC110886603/LOC110883327/LOC110886619/LOC110886615/LOC110886605/LOC118480967/LOC110936595/LOC110936593/LOC110933489/LOC110934723/LOC110883130/LOC110933512/LOC110864770/LOC110883768/LOC110883569/LOC118481081/LOC118481089/LOC110884160/LOC110921803/LOC110927193/LOC110927184/LOC110900634/LOC110927186/LOC110926628/LOC110927210/LOC110927215/LOC110927243/LOC110928753/LOC118490507/LOC110930149/LOC110935528/LOC110932751/LOC110942792/LOC110942986/LOC110941279/LOC110935603/LOC110944095/LOC110866856/LOC110871763/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110871874/LOC110872916/LOC110941878/LOC110877146/LOC110875237/LOC110925486/LOC110877208/LOC110875300/LOC110898036/LOC110874027/LOC110877005/LOC110875280/LOC110877186/LOC110875305/LOC110877199/LOC110877198/LOC110877197/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877237/LOC110875479/LOC110877400/LOC110877402/LOC110875482/LOC110884978/LOC118482671/LOC110885372/LOC110891158/LOC110894014/LOC110907599/LOC110904368/LOC110904369/LOC110904370/LOC110907601/LOC110897554/LOC110900625/LOC110899273/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110902034/LOC110899868/LOC110902036/LOC110899940/LOC110902093/LOC110902094/LOC110902095/LOC110902096/LOC110899943/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110902134/LOC110899972/LOC110899968/LOC118485509/LOC110902117/LOC110902116/LOC110899966/LOC110923178/LOC110921543/LOC118485512/LOC110899948/LOC110899951/LOC110899903/LOC110900021/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110924277/LOC110900057/LOC110902167/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902303/LOC110900247/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902342/LOC110902341/LOC110902340/LOC110902339/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110913241/LOC110886338/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900181/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900162/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110902365/LOC110900361/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC110912767/LOC110916258/LOC110915844/LOC110919752/LOC118489208/LOC118489712/LOC110929094	231
transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	144/3254	315/25972	0.457142857142857	3.64871367108614	17.9000982907657	2.33015963960867e-48	5.87976949061255e-46	4.66031927921734e-46	LOC110927037/LOC110927036/LOC110929037/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930074/LOC110932390/LOC110942887/LOC110942886/LOC110869468/LOC110871908/LOC110901438/LOC110870457/LOC110870459/LOC110877359/LOC110875442/LOC110875434/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875888/LOC110875891/LOC110877635/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110882209/LOC110885451/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC110891173/LOC110891172/LOC110890954/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC118484244/LOC110889032/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110899321/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110900359/LOC110906550/LOC110940205/LOC110908315/LOC110906862/LOC118486504/LOC110908605/LOC110908553/LOC110908699/LOC110908713/LOC118486273/LOC110906970/LOC110908814/LOC110908869/LOC110908868/LOC110908885/LOC110912357/LOC110915941/LOC110908861/LOC118487975/LOC110912955/LOC110914617/LOC118489673/LOC110891449/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110888994/LOC118489681/LOC110891462/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	144
protein autophosphorylation	protein autophosphorylation	162/3254	387/25972	0.418604651162791	3.34111862323294	17.561202644518	5.61737763261228e-48	1.06308871697187e-45	8.42606644891843e-46	LOC110867206/LOC110880307/LOC110927037/LOC110927036/LOC110929037/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930074/LOC110932390/LOC110937525/LOC110939818/LOC110942887/LOC110942886/LOC110940993/LOC110864853/LOC110899462/LOC110868253/LOC110868452/LOC110869468/LOC110871908/LOC110901438/LOC110870457/LOC110870459/LOC110877359/LOC110875442/LOC110875434/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875888/LOC110875891/LOC110877635/LOC110878478/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110879733/LOC110885524/LOC110882209/LOC110885451/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC110891173/LOC110891172/LOC110890954/LOC110891098/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC118484244/LOC110889032/LOC110897592/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110899321/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110900359/LOC110906550/LOC110940205/LOC110908315/LOC110906862/LOC118486504/LOC110908605/LOC110908553/LOC110908699/LOC110908713/LOC118486273/LOC110906970/LOC110908814/LOC110908869/LOC110908868/LOC110908885/LOC118486305/LOC110929087/LOC110912357/LOC110915941/LOC110908861/LOC110916328/LOC118487975/LOC110915472/LOC110912955/LOC110914617/LOC118489673/LOC110891449/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110888994/LOC118489681/LOC110891462/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	162
plasmodesma	plasmodesma	152/3254	416/25972	0.365384615384615	2.91633965297149	14.9121675448019	1.2282745950348e-36	1.85960773688269e-34	1.47392951404176e-34	LOC110927037/LOC110927036/LOC110929037/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930074/LOC110932390/LOC110942887/LOC110942886/LOC110940982/LOC110869468/LOC110871908/LOC110901438/LOC110872682/LOC110870457/LOC110870459/LOC110877359/LOC110875442/LOC110875434/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875888/LOC110875891/LOC110877635/LOC110878075/LOC110921875/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110879475/LOC110882209/LOC110885451/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110926271/LOC110888060/LOC110890462/LOC118484368/LOC110888852/LOC118484169/LOC110891179/LOC110891173/LOC110891172/LOC110890954/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC118484244/LOC110889032/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110899321/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110900359/LOC110906550/LOC110940205/LOC110908315/LOC110906862/LOC118486504/LOC110908605/LOC110908553/LOC110908699/LOC110908713/LOC118486273/LOC110906970/LOC110908814/LOC110908869/LOC110908868/LOC110908885/LOC110905039/LOC110912357/LOC110914646/LOC110915941/LOC110908861/LOC118487975/LOC110912955/LOC110914617/LOC110926488/LOC118489673/LOC110891449/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110888994/LOC118489681/LOC110891462/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	152
chromatin	chromatin	50/3254	87/25972	0.574712643678161	4.58710411235685	12.6837474572143	2.39258212192123e-23	3.01864111049062e-21	2.39258212192123e-21	LOC110864993/LOC110944111/LOC110875408/LOC110881881/LOC110881796/LOC110933011/LOC110882925/LOC110884355/LOC110884310/LOC110890289/LOC110930023/LOC110930350/LOC110930351/LOC110937904/LOC110939759/LOC110940261/LOC110941305/LOC110896141/LOC110878568/LOC110879789/LOC110879252/LOC110880033/LOC110880116/LOC110884257/LOC110880939/LOC110891525/LOC110897552/LOC110893937/LOC110895866/LOC110897732/LOC110898721/LOC110899404/LOC110899405/LOC110899997/LOC110899996/LOC110908394/LOC110908467/LOC110908913/LOC110903922/LOC110904295/LOC110911159/LOC110911337/LOC110911866/LOC110911863/LOC110915317/LOC110918655/LOC110915385/LOC110918305/LOC110866977/LOC110921400	50
ATP-dependent chromatin remodeler activity	ATP-dependent chromatin remodeler activity	34/3254	54/25972	0.62962962962963	5.02542739420428	11.2066600439391	4.51829731154746e-18	4.88621580691633e-16	3.87282626704068e-16	LOC110867103/LOC110875408/LOC110881881/LOC110881796/LOC110933011/LOC110884355/LOC110884310/LOC110929694/LOC110929169/LOC110931589/LOC110930023/LOC110930144/LOC110908430/LOC110937632/LOC110864679/LOC110889558/LOC110884863/LOC118483991/LOC110891525/LOC110894636/LOC110893937/LOC110895866/LOC110900717/LOC110898721/LOC110899997/LOC110899996/LOC110908394/LOC110908913/LOC110904295/LOC110904959/LOC110879098/LOC110916103/LOC110921860/LOC110926158	34
chromatin DNA binding	chromatin DNA binding	31/3254	50/25972	0.62	4.94856791641057	10.5769006314521	2.55028830443245e-16	2.41321030806921e-14	1.91271622832434e-14	LOC110864993/LOC110929783/LOC110929926/LOC118490192/LOC110929997/LOC110929996/LOC110929995/LOC110932215/LOC110929991/LOC110929993/LOC110929990/LOC110937904/LOC110939759/LOC110940261/LOC110941377/LOC110872760/LOC110871933/LOC110879789/LOC110879368/LOC110889535/LOC110889539/LOC110897732/LOC110899045/LOC110899050/LOC110899138/LOC110908467/LOC110905014/LOC110911866/LOC110911863/LOC110918397/LOC110918305	31
negative regulation of transcription by RNA polymerase II	negative regulation of transcription by RNA polymerase II	24/3254	34/25972	0.705882352941177	5.63404316858889	10.2329146906939	7.63949006809414e-15	6.42565997949696e-13	5.09299337872943e-13	LOC110875408/LOC110881881/LOC110881796/LOC110933011/LOC110884355/LOC110884310/LOC110936649/LOC110940557/LOC110896141/LOC110879252/LOC110891525/LOC110895866/LOC110897770/LOC110898721/LOC110899997/LOC110899996/LOC110908913/LOC110903922/LOC110904295/LOC110905090/LOC110911159/LOC110911337/LOC110912026/LOC110921400	24
histone binding	histone binding	38/3254	87/25972	0.436781609195402	3.48619912539121	8.79102497364931	5.29086224739424e-13	4.00518272127744e-11	3.17451734843654e-11	LOC110940998/LOC110867103/LOC110875581/LOC110875408/LOC110877930/LOC110881881/LOC110881796/LOC110933011/LOC110884355/LOC110884310/LOC110929508/LOC110929783/LOC110930023/LOC110930931/LOC110936056/LOC110865072/LOC110927130/LOC110920846/LOC110884863/LOC110885399/LOC110890081/LOC110891525/LOC110894626/LOC110893937/LOC110895866/LOC110898976/LOC110899045/LOC110899050/LOC110898721/LOC110899997/LOC110899996/LOC110908394/LOC110908913/LOC110904295/LOC110912157/LOC110918397/LOC110915655/LOC110921860	38
