ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	181/5251	315/25972	0.574603174603175	2.84204792435606	16.5582049845661	3.26344503549784e-48	3.03500388301299e-45	2.51800548528412e-45	LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883969/LOC110927036/LOC110928669/LOC110929037/LOC110931752/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930173/LOC110930069/LOC110930072/LOC110930074/LOC110932390/LOC110932848/LOC110932847/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110934375/LOC110874474/LOC110942887/LOC110942886/LOC110887817/LOC110901438/LOC110870457/LOC110870459/LOC110873892/LOC110877092/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC118482728/LOC110886101/LOC110886353/LOC110886343/LOC110886380/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110888060/LOC110890599/LOC118484368/LOC110888852/LOC118484169/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC110888983/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484342/LOC118484220/LOC118484225/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110896325/LOC110894140/LOC110894135/LOC110892459/LOC110892725/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110906550/LOC110908446/LOC110906862/LOC118486504/LOC110908699/LOC110908713/LOC110908868/LOC110912357/LOC110915941/LOC110908861/LOC118487975/LOC110922612/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC110891447/LOC118489707/LOC110890537	181
ADP binding	ADP binding	224/5251	447/25972	0.501118568232662	2.47858530834864	15.8736669019699	8.45363598076802e-46	3.93094073105713e-43	3.2613237757384e-43	LOC110898616/LOC110928580/LOC110923780/LOC110923788/LOC110928753/LOC118490507/LOC110929730/LOC110929728/LOC110929734/LOC110935776/LOC110935775/LOC110935771/LOC110935784/LOC110932935/LOC110883529/LOC110877457/LOC110935785/LOC110886833/LOC110886834/LOC110936178/LOC110936738/LOC110939594/LOC110942986/LOC110940789/LOC110941279/LOC110942050/LOC110865924/LOC110945051/LOC110864191/LOC110945094/LOC110866856/LOC110875213/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110875237/LOC110875248/LOC110875244/LOC110877151/LOC110877152/LOC110877161/LOC110874099/LOC110875259/LOC110925486/LOC110924474/LOC110875323/LOC110877208/LOC110875300/LOC110877202/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110877197/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877227/LOC110877237/LOC110877256/LOC110875390/LOC110877300/LOC110875384/LOC110875463/LOC110875468/LOC110931388/LOC110875479/LOC110877400/LOC110877402/LOC110875482/LOC110877438/LOC110877534/LOC110932766/LOC110890154/LOC110890122/LOC110890488/LOC110888673/LOC110891158/LOC110895302/LOC110898089/LOC110899499/LOC110899549/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110899868/LOC110899940/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110902134/LOC110899968/LOC110902116/LOC110921543/LOC110899948/LOC110899951/LOC110899903/LOC110900024/LOC110900029/LOC110900027/LOC110900026/LOC110900057/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902303/LOC110900247/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902342/LOC110902341/LOC110902340/LOC110902339/LOC118485934/LOC110900308/LOC110875961/LOC110913241/LOC110886338/LOC110865943/LOC110902253/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900181/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900162/LOC110900159/LOC110900679/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110900361/LOC110900364/LOC110902369/LOC110910874/LOC110913520/LOC110911644/LOC110911509/LOC110911510/LOC110911512/LOC110911567/LOC110911588/LOC110911587/LOC110911583/LOC110911710/LOC110915844/LOC110916917/LOC110910157/LOC110916295/LOC110907734/LOC110904694/LOC110915086/LOC110919951/LOC110915087/LOC110915177/LOC110920038/LOC110922483/LOC110924857/LOC110923337/LOC118489690/LOC118489712/LOC110929094	224
protein autophosphorylation	protein autophosphorylation	199/5251	387/25972	0.51421188630491	2.54334624092765	15.398773472805	6.13213902683144e-43	1.90096309831775e-40	1.57714312514647e-40	LOC110927704/LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883969/LOC110924735/LOC110925025/LOC110927036/LOC110928669/LOC110929037/LOC110931752/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930159/LOC110930173/LOC110930069/LOC110930072/LOC110930074/LOC110932390/LOC110930824/LOC110932848/LOC110932847/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110934375/LOC110874474/LOC110942887/LOC110942886/LOC110865104/LOC110865105/LOC110887817/LOC110865963/LOC110899462/LOC110868461/LOC110901438/LOC110870457/LOC110870459/LOC110873892/LOC110877092/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110878508/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC118482728/LOC110886101/LOC110886353/LOC110886343/LOC110886380/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110888060/LOC110890599/LOC118484368/LOC110888852/LOC118484169/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC110888983/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484342/LOC118484220/LOC118484225/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110896325/LOC110894140/LOC110894135/LOC110892459/LOC110892725/LOC110898220/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110899783/LOC110927202/LOC110906550/LOC110908446/LOC110906862/LOC118486504/LOC110908699/LOC110908713/LOC110908868/LOC110903873/LOC110912357/LOC110912508/LOC110915941/LOC110908861/LOC110918063/LOC110916328/LOC118487975/LOC110915472/LOC110922612/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC110891447/LOC118489707/LOC110890537	199
plasmodesma	plasmodesma	203/5251	416/25972	0.487980769230769	2.41360436839869	14.6314744769697	2.11721295708625e-39	4.92252012522553e-37	4.08399236195848e-37	LOC110942469/LOC110944044/LOC110944018/LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883969/LOC110927036/LOC110928669/LOC110929037/LOC110929119/LOC110931752/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930173/LOC110930069/LOC110930072/LOC110930074/LOC110932390/LOC110932848/LOC110932847/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110934375/LOC110874474/LOC110942887/LOC110942886/LOC110941756/LOC110942325/LOC110887817/LOC110901438/LOC110872682/LOC110871127/LOC110870457/LOC110870459/LOC110923513/LOC110873892/LOC110877092/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110910010/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC118482728/LOC110886101/LOC110886353/LOC110886343/LOC110886380/LOC110886708/LOC110886705/LOC110886847/LOC110886967/LOC110886970/LOC110888060/LOC110890462/LOC110890599/LOC118484368/LOC110888852/LOC118484169/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC110888983/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484342/LOC118484220/LOC118484225/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110896325/LOC110894140/LOC110894135/LOC110892459/LOC110894399/LOC110894400/LOC110892606/LOC110892725/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110906550/LOC110908446/LOC110906862/LOC118486504/LOC110908699/LOC110908713/LOC110908868/LOC110903735/LOC110911604/LOC110912357/LOC110915941/LOC110917207/LOC110908861/LOC118487975/LOC110925515/LOC110921306/LOC110921175/LOC110924280/LOC110922612/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC110891447/LOC118489707/LOC110890537	203
DNA repair	DNA repair	130/5251	237/25972	0.548523206751055	2.71305365182601	13.3365360005915	3.74272505371803e-32	6.96146859991553e-30	5.77561571447434e-30	LOC110944111/LOC110867103/LOC110939166/LOC118490361/LOC110926756/LOC110876152/LOC110898621/LOC110928550/LOC110929968/LOC110870213/LOC110889087/LOC110897540/LOC110897747/LOC110928632/LOC110931432/LOC110932368/LOC110931383/LOC110931565/LOC110932036/LOC110930350/LOC110928238/LOC110933497/LOC110897711/LOC110934689/LOC110933940/LOC110938072/LOC110938089/LOC110883630/LOC118492076/LOC110940744/LOC110924923/LOC110943524/LOC110942888/LOC110942890/LOC110943699/LOC110943960/LOC110944524/LOC110865477/LOC110944812/LOC110910658/LOC110865565/LOC110942023/LOC110896239/LOC110870088/LOC110870069/LOC110870071/LOC110870170/LOC110870242/LOC110873364/LOC118481008/LOC110870399/LOC110876763/LOC110914395/LOC110875302/LOC110875450/LOC110944034/LOC110881371/LOC110878568/LOC110876331/LOC110878972/LOC110876532/LOC110876583/LOC110892410/LOC110927278/LOC110880758/LOC110884257/LOC110882397/LOC110882275/LOC110884863/LOC110882108/LOC110885883/LOC110926964/LOC110887688/LOC110880939/LOC110888945/LOC110888846/LOC110892406/LOC110892527/LOC110893022/LOC110893053/LOC110908176/LOC110909875/LOC110900468/LOC110900954/LOC110900753/LOC118485750/LOC110900979/LOC110900850/LOC110901429/LOC110901514/LOC110899120/LOC110899404/LOC110899405/LOC110901759/LOC110906563/LOC110906905/LOC110908637/LOC110902292/LOC110907226/LOC110907220/LOC110907212/LOC110907329/LOC110906040/LOC110907590/LOC110909970/LOC110914842/LOC110913608/LOC118487447/LOC110923904/LOC110942779/LOC110914377/LOC110914109/LOC110914132/LOC118487530/LOC110914235/LOC110914288/LOC110915385/LOC110919688/LOC110919710/LOC110919932/LOC110918196/LOC110920066/LOC110923820/LOC118488824/LOC110924201/LOC110924428/LOC110924815/LOC110925219/LOC110925248/LOC110922234	130
DNA recombination	DNA recombination	49/5251	68/25972	0.720588235294118	3.56410543649949	10.6577838977021	4.1954019155399e-20	6.50287296908684e-18	5.39513965629955e-18	LOC110939166/LOC110926756/LOC110898621/LOC110889087/LOC110897540/LOC110931565/LOC110928238/LOC110934689/LOC110938089/LOC110883630/LOC118492076/LOC110940744/LOC110942888/LOC110944812/LOC110865565/LOC110870170/LOC110870242/LOC110873364/LOC110870399/LOC110875450/LOC110878972/LOC110876583/LOC110892410/LOC110927278/LOC110882275/LOC110926964/LOC110888945/LOC110888846/LOC110892406/LOC110892527/LOC110893053/LOC110908176/LOC110909875/LOC110900954/LOC110901429/LOC110899120/LOC110908637/LOC110907220/LOC110907329/LOC110907590/LOC110909970/LOC110914842/LOC110942779/LOC110919932/LOC110918196/LOC110924201/LOC110924815/LOC110925248/LOC110922234	49
telomere maintenance	telomere maintenance	63/5251	105/25972	0.6	2.96766330222815	10.1702679181293	5.2381024616477e-19	6.95919327047481e-17	5.77372797652296e-17	LOC118490361/LOC110876152/LOC110928550/LOC110870213/LOC110897747/LOC110931432/LOC110932368/LOC110931383/LOC110932036/LOC110933497/LOC110933940/LOC110924923/LOC110943524/LOC110942890/LOC110943699/LOC110943960/LOC110944524/LOC110896239/LOC110870088/LOC110870069/LOC110870071/LOC118481008/LOC110876763/LOC110914395/LOC110875302/LOC110944034/LOC110881371/LOC110876331/LOC110876532/LOC110880758/LOC110882397/LOC110882108/LOC110887688/LOC110893022/LOC110900468/LOC110900753/LOC118485750/LOC110900979/LOC110900850/LOC110901514/LOC110901759/LOC110906563/LOC110906905/LOC110902292/LOC110907226/LOC110907212/LOC110913608/LOC118487447/LOC110923904/LOC110914377/LOC110914109/LOC110914132/LOC118487530/LOC110914235/LOC110914288/LOC110919688/LOC110919710/LOC110920066/LOC118489097/LOC110923820/LOC118488824/LOC110924428/LOC110925219	63
defense response to other organism	defense response to other organism	111/5251	251/25972	0.442231075697211	2.18732155741915	9.51527356947594	5.15193561523542e-18	5.98912515271117e-16	4.96890632364153e-16	LOC118490507/LOC110942986/LOC110866856/LOC110932766/LOC110890122/LOC110888673/LOC110891158/LOC110895302/LOC110898089/LOC110899499/LOC110899549/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110899868/LOC110899940/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110899968/LOC110902116/LOC110921543/LOC110899948/LOC110899951/LOC110899903/LOC110900024/LOC110900029/LOC110900027/LOC110900026/LOC110900057/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902339/LOC118485934/LOC110900308/LOC110875961/LOC110913241/LOC110886338/LOC110865943/LOC110902253/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110900361/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC110924857/LOC110923337/LOC118489712/LOC110929094	111
DNA helicase activity	DNA helicase activity	65/5251	114/25972	0.570175438596491	2.82014787492441	9.80441358314003	5.89422886480187e-18	6.09070316029526e-16	5.05318100339154e-16	LOC118490361/LOC110876152/LOC110928550/LOC110870213/LOC110897747/LOC110931432/LOC110932368/LOC110931383/LOC110932036/LOC110933497/LOC110933940/LOC110924923/LOC110943524/LOC110942890/LOC110943699/LOC110943960/LOC110944524/LOC110866004/LOC110945115/LOC110896239/LOC110870088/LOC110870069/LOC110870071/LOC118481008/LOC110876763/LOC110914395/LOC110875302/LOC110944034/LOC110881371/LOC110876331/LOC110876532/LOC110880758/LOC110882397/LOC110882108/LOC110887688/LOC110893022/LOC110900468/LOC110900753/LOC118485750/LOC110900979/LOC110900850/LOC110901514/LOC110901759/LOC110906563/LOC110906905/LOC110902292/LOC110907226/LOC110907212/LOC110913608/LOC118487447/LOC110923904/LOC110914377/LOC110914109/LOC110914132/LOC118487530/LOC110914235/LOC110914288/LOC110919688/LOC110919710/LOC110920066/LOC118489097/LOC110923820/LOC118488824/LOC110924428/LOC110925219	65
recognition of pollen	recognition of pollen	80/5251	158/25972	0.506329113924051	2.50435721707017	9.54798777759202	1.47119084081006e-17	1.36820748195336e-15	1.13513988033029e-15	LOC110876521/LOC110876515/LOC110876504/LOC118484204/LOC110932567/LOC110940556/LOC110944057/LOC110944500/LOC110867887/LOC110895556/LOC110895555/LOC110893258/LOC110922929/LOC110872472/LOC110869793/LOC110869792/LOC110872489/LOC110872488/LOC110872486/LOC110869789/LOC110872483/LOC110872484/LOC110944046/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC118480939/LOC118479282/LOC110869806/LOC110872526/LOC110875682/LOC110876679/LOC110879406/LOC110879407/LOC110884288/LOC110886483/LOC110887958/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC118483916/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110920837/LOC110890029/LOC110888078/LOC110916902/LOC110888083/LOC110888695/LOC110888698/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110892904/LOC110900405/LOC110907718/LOC110907112/LOC110907754/LOC110907750/LOC110907723/LOC110907725/LOC110910640/LOC118479363/LOC110926512/LOC110889899	80
