ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
signal transduction	signal transduction	signal transduction	147/4088	359/35298	0.409470752089136	3.53559163582249	17.4762704175581	3.85506894495468e-46	3.59292425669777e-43	2.67825842491589e-43	LOC110942297/LOC110881770/LOC110913177/LOC110913219/LOC110913133/LOC110919690/LOC110923780/LOC110923788/LOC110898504/LOC110928593/LOC110927551/LOC118490370/LOC110928753/LOC110929133/LOC110929045/LOC110929620/LOC110929730/LOC110929734/LOC110929809/LOC110935505/LOC110935398/LOC110935532/LOC110935529/LOC110935557/LOC110932757/LOC110935562/LOC110935564/LOC110935571/LOC110935702/LOC110935778/LOC110935776/LOC110935775/LOC110935774/LOC110935771/LOC110935784/LOC110932945/LOC110932935/LOC110883529/LOC110877457/LOC110875563/LOC110935785/LOC110932922/LOC110886833/LOC110886834/LOC110883520/LOC110886841/LOC110941292/LOC110936735/LOC110937157/LOC118491139/LOC110938065/LOC110938141/LOC110942792/LOC110940217/LOC110941279/LOC110942373/LOC110864599/LOC110865453/LOC110865466/LOC110865594/LOC110937987/LOC110868469/LOC110871763/LOC110871778/LOC110869417/LOC110871773/LOC110871800/LOC110871799/LOC118479289/LOC110873217/LOC110875213/LOC110877124/LOC110875206/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875226/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110875244/LOC110877151/LOC110877161/LOC110877153/LOC110874099/LOC118481654/LOC110925469/LOC110924474/LOC110875323/LOC110875303/LOC118481657/LOC110877204/LOC110877202/LOC110898036/LOC110874027/LOC110877005/LOC110874115/LOC110875281/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877200/LOC110877198/LOC110875287/LOC110875284/LOC110877223/LOC110877227/LOC110877237/LOC110877300/LOC110875552/LOC110877400/LOC110875480/LOC110877402/LOC110877539/LOC110889255/LOC110879302/LOC110883935/LOC110884978/LOC110881708/LOC110885482/LOC110885372/LOC110890165/LOC110890888/LOC118484886/LOC110895689/LOC110898161/LOC110898398/LOC110899273/LOC110920901/LOC110908304/LOC110904112/LOC118487308/LOC110911248/LOC110913520/LOC110871754/LOC110912767/LOC118488230/LOC110910157/LOC110907734/LOC110915177/LOC110920038/LOC110921020/LOC110922414	147
protein serine/threonine kinase activity	protein serine/threonine kinase activity	protein serine/threonine kinase activity	172/4088	475/35298	0.362105263157895	3.12661242146462	16.888050397868	4.65772942217333e-45	2.17050191073277e-42	1.61794811507074e-42	LOC110941748/LOC110869562/LOC110920898/LOC110928518/LOC110928593/LOC110929045/LOC110930051/LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110930447/LOC110930741/LOC110936137/LOC110936185/LOC110933224/LOC110936449/LOC110936453/LOC110936814/LOC110937157/LOC118491139/LOC110938065/LOC110939742/LOC110940671/LOC110940556/LOC110941409/LOC110942144/LOC110944225/LOC110872341/LOC110864599/LOC110864929/LOC110944500/LOC110865376/LOC110865377/LOC110865375/LOC110865466/LOC110865594/LOC110865680/LOC110868064/LOC110868066/LOC110930064/LOC110867887/LOC110868469/LOC110868661/LOC110927133/LOC110868712/LOC110872101/LOC110869302/LOC110872400/LOC110872472/LOC110869793/LOC110869792/LOC110872489/LOC110872488/LOC110872486/LOC110872483/LOC110872484/LOC110944046/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC110872526/LOC110872888/LOC110873059/LOC110873217/LOC110873575/LOC110877153/LOC110875316/LOC110877225/LOC110877241/LOC110877242/LOC110877246/LOC110877247/LOC118481981/LOC110877291/LOC110877292/LOC118482010/LOC110865993/LOC110875884/LOC110879302/LOC110884288/LOC110881622/LOC110885012/LOC110885040/LOC110885482/LOC110885370/LOC110884735/LOC110884733/LOC110884738/LOC110882791/LOC110929249/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110887980/LOC110889928/LOC110887955/LOC110889900/LOC110920837/LOC110890062/LOC110890029/LOC110888078/LOC110916902/LOC110888082/LOC110888083/LOC110890418/LOC110890888/LOC110894529/LOC110894807/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110898161/LOC110907978/LOC110908473/LOC110908480/LOC110906781/LOC110941994/LOC110880922/LOC110884364/LOC110912331/LOC110908594/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110903661/LOC110903782/LOC110903830/LOC110907717/LOC110904767/LOC110910059/LOC110910640/LOC110911066/LOC118487308/LOC110911253/LOC110911627/LOC110911628/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921/LOC110917951/LOC110920829/LOC110915714/LOC110915880/LOC110921925/LOC110926112/LOC110922414/LOC110926085/LOC110889899	172
ADP binding	ADP binding	ADP binding	167/4088	479/35298	0.348643006263048	3.0103720242351	16.0329522262601	2.65365718531692e-41	8.24402832238456e-39	6.14531137652339e-39	LOC110887746/LOC110913177/LOC110913219/LOC110913133/LOC110923780/LOC110923788/LOC110898504/LOC110927193/LOC110927184/LOC110900634/LOC110927186/LOC110926628/LOC110927210/LOC110927215/LOC110927243/LOC110927551/LOC110928691/LOC110928753/LOC110928898/LOC110929451/LOC110929730/LOC110929734/LOC110935505/LOC110935398/LOC110935424/LOC110935532/LOC110935419/LOC110935529/LOC110935522/LOC110932752/LOC110935557/LOC110932758/LOC110932760/LOC110935564/LOC110935571/LOC110935702/LOC110935778/LOC110935776/LOC110935775/LOC110935774/LOC110935771/LOC110935784/LOC110932945/LOC110932935/LOC110883529/LOC110877457/LOC110875563/LOC110935785/LOC118491433/LOC110886833/LOC110886834/LOC110883520/LOC110886841/LOC110936738/LOC110942792/LOC110942986/LOC110941279/LOC110871763/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110941878/LOC110875213/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110875237/LOC110875248/LOC110875244/LOC110877151/LOC110877161/LOC110874099/LOC110875259/LOC110925486/LOC110924474/LOC110875323/LOC110877208/LOC110875300/LOC110877202/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877227/LOC110877237/LOC110877300/LOC110875384/LOC110877400/LOC110875480/LOC110877402/LOC110884978/LOC118482671/LOC110885372/LOC110890488/LOC110904368/LOC110899273/LOC110899499/LOC110899868/LOC110899940/LOC110899945/LOC110899968/LOC118485509/LOC110902117/LOC110902116/LOC110899966/LOC110923178/LOC110921543/LOC110899948/LOC110899951/LOC110899903/LOC110900021/LOC110900299/LOC118485531/LOC110900282/LOC110900283/LOC118479246/LOC118479251/LOC110900191/LOC110900180/LOC118485938/LOC110900167/LOC110900162/LOC110927204/LOC110927203/LOC110902369/LOC110913520/LOC110911644/LOC110911509/LOC110911510/LOC110911512/LOC110911567/LOC110911588/LOC110911587/LOC110911583/LOC110911710/LOC110871754/LOC110912767/LOC110937773/LOC110910157/LOC110907734/LOC110915177/LOC110920038/LOC110921209/LOC110920725/LOC110922050/LOC110920722/LOC110922483/LOC110865814/LOC110923047	167
recognition of pollen	recognition of pollen	recognition of pollen	86/4088	164/35298	0.524390243902439	4.52786859815761	16.388831228929	1.50385080050106e-37	3.50397236516747e-35	2.61195139034394e-35	LOC118484204/LOC110939742/LOC110940556/LOC110944500/LOC110865376/LOC110865377/LOC110865375/LOC110944691/LOC110867887/LOC110872472/LOC110869793/LOC110869792/LOC118479368/LOC110872489/LOC110872488/LOC110872486/LOC110869789/LOC110872483/LOC110872484/LOC110944046/LOC110869781/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC118480939/LOC118479282/LOC110869805/LOC110869806/LOC110872526/LOC110872888/LOC110884288/LOC110884735/LOC110884733/LOC110884738/LOC110886483/LOC110929249/LOC110887956/LOC110887958/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC118483916/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110887980/LOC110889928/LOC110887955/LOC110889900/LOC110920837/LOC110890062/LOC110890029/LOC110888078/LOC110916902/LOC110888083/LOC110894529/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110892904/LOC110907112/LOC110907754/LOC110907750/LOC110907723/LOC110910640/LOC110913526/LOC110911627/LOC110911628/LOC118479374/LOC118479363/LOC110926085/LOC110889899	86
defense response	defense response	defense response	126/4088	401/35298	0.314214463840399	2.71309739350255	12.4864117076518	1.32770854130432e-26	2.47484872099126e-24	1.8448160784439e-24	LOC110887746/LOC110913177/LOC110913219/LOC110913133/LOC110923780/LOC110923788/LOC110898504/LOC110927551/LOC110928690/LOC110928691/LOC110928753/LOC110928964/LOC110929836/LOC110929730/LOC110929734/LOC110935505/LOC110935398/LOC110935424/LOC110935532/LOC110935419/LOC110935529/LOC110932752/LOC110935557/LOC110932758/LOC110932760/LOC110935564/LOC110935571/LOC118491403/LOC110935702/LOC110935778/LOC110935776/LOC110935775/LOC110935774/LOC110935771/LOC110935784/LOC110932945/LOC110932935/LOC110883529/LOC110877457/LOC110875563/LOC110935785/LOC118491433/LOC110886833/LOC110886834/LOC110883520/LOC110886841/LOC110942792/LOC110941279/LOC110871763/LOC110869411/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110875213/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875225/LOC118481941/LOC110877148/LOC110877147/LOC110875240/LOC110877146/LOC110875237/LOC110875248/LOC110875244/LOC110877151/LOC110877161/LOC110874099/LOC110875259/LOC110925486/LOC110924474/LOC110875323/LOC110877208/LOC110875300/LOC110877202/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110875281/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110875289/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877227/LOC110877237/LOC110877300/LOC110875384/LOC110874159/LOC110877400/LOC110875480/LOC110877402/LOC110884978/LOC110881594/LOC118482671/LOC110881709/LOC110885372/LOC110885724/LOC110894284/LOC110899273/LOC110913520/LOC110871754/LOC110871753/LOC110912767/LOC110937773/LOC110910157/LOC110907734/LOC110915177/LOC110920038/LOC110921566/LOC110891336/LOC110865814/LOC110921318	126
cell surface receptor signaling pathway	cell surface receptor signaling pathway	cell surface receptor signaling pathway	44/4088	115/35298	0.382608695652174	3.30365013188122	8.95522421223911	1.46489287936923e-13	2.27546693928687e-11	1.69619175505911e-11	LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110930447/LOC110935522/LOC110933224/LOC110944225/LOC110875316/LOC110877225/LOC110877241/LOC110877242/LOC110877246/LOC110877247/LOC118481981/LOC110877291/LOC110877292/LOC118482010/LOC110881622/LOC110885012/LOC110885040/LOC110908473/LOC110908480/LOC110906781/LOC110941994/LOC110880922/LOC110884364/LOC110912331/LOC110908594/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110903661/LOC110903782/LOC110903830/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921	44
alcohol dehydrogenase activity, zinc-dependent	alcohol dehydrogenase activity, zinc-dependent	alcohol dehydrogenase activity, zinc-dependent	20/4088	30/35298	0.666666666666667	5.75636007827789	9.4324039889534	1.70023895480351e-12	1.98077838234609e-10	1.47652330285568e-10	LOC110936487/LOC110942211/LOC110942209/LOC110942210/LOC110942215/LOC110942212/LOC110942213/LOC110942216/LOC110942214/LOC110864986/LOC110872239/LOC110872232/LOC110872231/LOC110872229/LOC110872244/LOC110873019/LOC110912009/LOC110874237/LOC110944349/LOC110887872	20
S-(hydroxymethyl)glutathione dehydrogenase activity	S-(hydroxymethyl)glutathione dehydrogenase activity	S-(hydroxymethyl)glutathione dehydrogenase activity	20/4088	30/35298	0.666666666666667	5.75636007827789	9.4324039889534	1.70023895480351e-12	1.98077838234609e-10	1.47652330285568e-10	LOC110936487/LOC110942211/LOC110942209/LOC110942210/LOC110942215/LOC110942212/LOC110942213/LOC110942216/LOC110942214/LOC110864986/LOC110872239/LOC110872232/LOC110872231/LOC110872229/LOC110872244/LOC110873019/LOC110912009/LOC110874237/LOC110944349/LOC110887872	20
ATP-dependent protein folding chaperone	ATP-dependent protein folding chaperone	ATP-dependent protein folding chaperone	46/4088	133/35298	0.345864661654135	2.98638229624943	8.30636100545683	2.84459136044328e-12	2.94573238659237e-10	2.19582490981587e-10	LOC110864547/LOC110866733/LOC110920375/LOC110913120/LOC110904418/LOC110929044/LOC110929117/LOC110932994/LOC110887030/LOC110936076/LOC110936043/LOC110936435/LOC110939638/LOC110939778/LOC110939857/LOC110940025/LOC110864851/LOC110918978/LOC110918971/LOC110867123/LOC110869235/LOC110872944/LOC110877876/LOC110908792/LOC110883965/LOC110885592/LOC110885591/LOC110885593/LOC118483317/LOC110885596/LOC110889421/LOC110889540/LOC110895197/LOC110895573/LOC110897380/LOC110898238/LOC110899791/LOC110909823/LOC110910475/LOC110910501/LOC110910841/LOC110911895/LOC110911952/LOC110940395/LOC110940194/LOC110923551	46
formaldehyde catabolic process	formaldehyde catabolic process	formaldehyde catabolic process	20/4088	31/35298	0.645161290322581	5.57067104349473	9.21412310730911	4.26676813352222e-12	3.97662790044271e-10	2.9642810190786e-10	LOC110936487/LOC110942211/LOC110942209/LOC110942210/LOC110942215/LOC110942212/LOC110942213/LOC110942216/LOC110942214/LOC110864986/LOC110872239/LOC110872232/LOC110872231/LOC110872229/LOC110872244/LOC110873019/LOC110912009/LOC110874237/LOC110944349/LOC110887872	20
