ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
ADP binding	ADP binding	ADP binding	227/5384	479/35298	0.473903966597077	3.10695806332534	19.6969816196372	8.49524011015085e-63	8.35082102827829e-60	6.65311435994972e-60	LOC110898616/LOC110928580/LOC110923780/LOC110923788/LOC110928753/LOC118490507/LOC110929730/LOC110929728/LOC110929734/LOC110935776/LOC110935775/LOC110935771/LOC110935784/LOC110932935/LOC110883529/LOC110877457/LOC110935785/LOC110886833/LOC110886834/LOC110936178/LOC110936738/LOC110939594/LOC110942986/LOC110940789/LOC110941279/LOC110942050/LOC110865924/LOC110945051/LOC110864191/LOC110945094/LOC110866856/LOC110875213/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110875237/LOC110875248/LOC110875244/LOC110877151/LOC110877152/LOC110877161/LOC110874099/LOC110875259/LOC110925486/LOC110924474/LOC110875323/LOC110877208/LOC110875300/LOC110877202/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110877197/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877227/LOC110877237/LOC110877256/LOC110875390/LOC110877300/LOC110875384/LOC110875463/LOC110875468/LOC110931388/LOC110875479/LOC110877400/LOC110877402/LOC110875482/LOC110877438/LOC110877534/LOC110932766/LOC110890154/LOC110890122/LOC110890488/LOC110888673/LOC110891158/LOC110895302/LOC110898089/LOC110899499/LOC110899549/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110899868/LOC110899940/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110902134/LOC110899968/LOC110902116/LOC110921543/LOC110899948/LOC110899951/LOC110899903/LOC110900024/LOC110900029/LOC110900027/LOC110900026/LOC110900057/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902303/LOC110900247/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902342/LOC110902341/LOC110902340/LOC110902339/LOC118485934/LOC110900308/LOC110875961/LOC110913241/LOC110886338/LOC110865943/LOC110902253/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900181/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900162/LOC110900159/LOC110900679/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110900361/LOC110900364/LOC110902369/LOC110910874/LOC110913520/LOC110911644/LOC110911509/LOC110911510/LOC110911512/LOC110911567/LOC110911588/LOC110911587/LOC110911583/LOC110911710/LOC110915844/LOC110916917/LOC110910157/LOC110916295/LOC110907734/LOC110904694/LOC110915086/LOC110919951/LOC110915087/LOC110915177/LOC110920038/LOC110922483/LOC110924857/LOC110923337/LOC110924349/LOC110924351/LOC110925029/LOC118489690/LOC118489712/LOC110929094	227
transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	181/5384	338/35298	0.535502958579882	3.5108067295603	19.6775081330107	1.53310953352429e-60	7.53523335727187e-58	6.00333417337932e-58	LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883969/LOC110927036/LOC110928669/LOC110929037/LOC110931752/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930173/LOC110930069/LOC110930072/LOC110930074/LOC110932390/LOC110932848/LOC110932847/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110934375/LOC110874474/LOC110942887/LOC110942886/LOC110887817/LOC110901438/LOC110870457/LOC110870459/LOC110873892/LOC110877092/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC118482728/LOC110886101/LOC110886353/LOC110886343/LOC110886380/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110888060/LOC110890599/LOC118484368/LOC110888852/LOC118484169/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC110888983/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484342/LOC118484220/LOC118484225/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110896325/LOC110894140/LOC110894135/LOC110892459/LOC110892725/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110906550/LOC110908446/LOC110906862/LOC118486504/LOC110908699/LOC110908713/LOC110908868/LOC110912357/LOC110915941/LOC110908861/LOC118487975/LOC110922612/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC110891447/LOC118489707/LOC110890537	181
protein autophosphorylation	protein autophosphorylation	protein autophosphorylation	199/5384	421/35298	0.472684085510689	3.09896041054166	18.3806096872969	6.33051119783166e-55	2.07429750248951e-52	1.65259660743395e-52	LOC110927704/LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883969/LOC110924735/LOC110925025/LOC110927036/LOC110928669/LOC110929037/LOC110931752/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930159/LOC110930173/LOC110930069/LOC110930072/LOC110930074/LOC110932390/LOC110930824/LOC110932848/LOC110932847/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110934375/LOC110874474/LOC110942887/LOC110942886/LOC110865104/LOC110865105/LOC110887817/LOC110865963/LOC110899462/LOC110868461/LOC110901438/LOC110870457/LOC110870459/LOC110873892/LOC110877092/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110878508/LOC110882209/LOC110885451/LOC110881415/LOC110886097/LOC118482728/LOC110886101/LOC110886353/LOC110886343/LOC110886380/LOC110886708/LOC110886847/LOC110886967/LOC110886970/LOC110888060/LOC110890599/LOC118484368/LOC110888852/LOC118484169/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC110888983/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484342/LOC118484220/LOC118484225/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110896325/LOC110894140/LOC110894135/LOC110892459/LOC110892725/LOC110898220/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110899783/LOC110927202/LOC110906550/LOC110908446/LOC110906862/LOC118486504/LOC110908699/LOC110908713/LOC110908868/LOC110903873/LOC110912357/LOC110912508/LOC110915941/LOC110908861/LOC110918063/LOC110916328/LOC118487975/LOC110915472/LOC110922612/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC110891447/LOC118489707/LOC110890537	199
plasmodesma	plasmodesma	plasmodesma	207/5384	481/35298	0.43035343035343	2.82143673562693	17.0637757191318	6.93186385305421e-49	1.70350554188807e-46	1.35718597544009e-46	LOC110942469/LOC110944044/LOC110944018/LOC110883822/LOC118491712/LOC110933885/LOC110883952/LOC110883969/LOC110927036/LOC110928669/LOC110929037/LOC110929119/LOC110931752/LOC110892632/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930173/LOC110930069/LOC110930072/LOC110930074/LOC110932390/LOC110928192/LOC110932848/LOC110932847/LOC110935667/LOC118491411/LOC110935660/LOC118491413/LOC110932838/LOC110935655/LOC110934375/LOC110874474/LOC110942887/LOC110942886/LOC110941756/LOC110942325/LOC110887817/LOC110901438/LOC110872682/LOC110871127/LOC110870457/LOC110870459/LOC110923513/LOC110873892/LOC110877092/LOC110877171/LOC110875331/LOC110877359/LOC110875442/LOC110877355/LOC110874193/LOC110875434/LOC110877352/LOC110877353/LOC110877455/LOC110877396/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110910010/LOC110882209/LOC110885451/LOC110885109/LOC110881415/LOC110886097/LOC118482728/LOC110886101/LOC110886353/LOC110886343/LOC110886380/LOC110886708/LOC110886705/LOC110886847/LOC110886967/LOC110886970/LOC110888060/LOC110890462/LOC110890599/LOC118484368/LOC110888852/LOC118484169/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110888830/LOC110888925/LOC110942552/LOC110942565/LOC110942590/LOC110942571/LOC110891368/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC110888983/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484342/LOC118484220/LOC118484225/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC110896325/LOC110894140/LOC110894135/LOC110892459/LOC110894399/LOC110894400/LOC110892606/LOC110892725/LOC110901553/LOC110899275/LOC110899329/LOC110901712/LOC110901713/LOC110899331/LOC110899333/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898700/LOC110898703/LOC110901728/LOC118479404/LOC110901776/LOC110868623/LOC110899486/LOC110927202/LOC110906550/LOC110908446/LOC110906862/LOC118486504/LOC110908699/LOC110908713/LOC110908868/LOC110903735/LOC110911604/LOC110912357/LOC110915941/LOC110917207/LOC110908861/LOC118487975/LOC110925515/LOC110921306/LOC110921175/LOC110924280/LOC110922612/LOC110912955/LOC110914617/LOC110925112/LOC110925109/LOC110925108/LOC110925603/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC110891447/LOC118489707/LOC110890537	207
defense response to other organism	defense response to other organism	defense response to other organism	114/5384	279/35298	0.408602150537634	2.67883334132196	11.9437855091144	3.67841215610971e-25	7.2317582989117e-23	5.76155504030659e-23	LOC118490507/LOC110942986/LOC110866856/LOC110932766/LOC110890122/LOC110888673/LOC110891158/LOC110895302/LOC110898089/LOC110899499/LOC110899549/LOC110899695/LOC110899787/LOC110899847/LOC110899845/LOC110899843/LOC110899868/LOC110899940/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110899968/LOC110902116/LOC110921543/LOC110899948/LOC110899951/LOC110899903/LOC110900024/LOC110900029/LOC110900027/LOC110900026/LOC110900057/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902339/LOC118485934/LOC110900308/LOC110875961/LOC110913241/LOC110886338/LOC110865943/LOC110902253/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110900361/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC110924857/LOC110923337/LOC110924349/LOC110924351/LOC110925029/LOC118489712/LOC110929094	114
recognition of pollen	recognition of pollen	recognition of pollen	80/5384	164/35298	0.48780487804878	3.19809371942159	11.9698445216873	5.22922390646888e-24	8.56721183343152e-22	6.82551330949623e-22	LOC110876521/LOC110876515/LOC110876504/LOC118484204/LOC110932567/LOC110940556/LOC110944057/LOC110944500/LOC110867887/LOC110895556/LOC110895555/LOC110893258/LOC110922929/LOC110872472/LOC110869793/LOC110869792/LOC110872489/LOC110872488/LOC110872486/LOC110869789/LOC110872483/LOC110872484/LOC110944046/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC118480939/LOC118479282/LOC110869806/LOC110872526/LOC110875682/LOC110876679/LOC110879406/LOC110879407/LOC110884288/LOC110886483/LOC110887958/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC118483916/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110920837/LOC110890029/LOC110888078/LOC110916902/LOC110888083/LOC110888695/LOC110888698/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110892904/LOC110900405/LOC110907718/LOC110907112/LOC110907754/LOC110907750/LOC110907723/LOC110907725/LOC110910640/LOC118479363/LOC110926512/LOC110889899	80
signal transduction	signal transduction	signal transduction	130/5384	359/35298	0.362116991643454	2.37407235717508	11.1016049810578	9.39811961528627e-23	1.31976451168949e-20	1.05145879605609e-20	LOC110941807/LOC110885804/LOC110898616/LOC110928580/LOC110879217/LOC110919690/LOC110923780/LOC110923788/LOC110926039/LOC110927106/LOC110928753/LOC110909112/LOC110929730/LOC110929728/LOC110929734/LOC110930888/LOC110935776/LOC110935775/LOC110935771/LOC110935784/LOC110932935/LOC110883529/LOC110877457/LOC110935785/LOC110886833/LOC110886834/LOC110936178/LOC110941292/LOC110937157/LOC110941279/LOC110942374/LOC110942423/LOC110864887/LOC110865453/LOC110937987/LOC110865924/LOC110864191/LOC110945095/LOC110875213/LOC110877124/LOC110875206/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875226/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110875244/LOC110877151/LOC110877152/LOC110877161/LOC110874099/LOC110925469/LOC110924474/LOC110875323/LOC110875303/LOC118481657/LOC110877204/LOC110877202/LOC110898036/LOC110874027/LOC110877005/LOC110874115/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877200/LOC110877198/LOC110877197/LOC110875287/LOC110875284/LOC110877223/LOC110877227/LOC110877237/LOC110877256/LOC110875343/LOC110875390/LOC110877300/LOC110875386/LOC110875479/LOC110877400/LOC110877402/LOC110877534/LOC110889255/LOC110908791/LOC110883776/LOC110885368/LOC110886097/LOC110886469/LOC110889419/LOC110929881/LOC110890154/LOC110890165/LOC110890253/LOC110890651/LOC110894196/LOC110894801/LOC118484886/LOC110895689/LOC110897459/LOC110898118/LOC110898161/LOC110899980/LOC110899983/LOC110899952/LOC110920901/LOC110909310/LOC110913520/LOC110912915/LOC110917989/LOC110915629/LOC110916917/LOC110910157/LOC110916295/LOC110919970/LOC110907734/LOC110904694/LOC110915086/LOC110919950/LOC110915087/LOC110915177/LOC110919957/LOC110920038/LOC110926457/LOC110924649	130
ABC-type transporter activity	ABC-type transporter activity	ABC-type transporter activity	85/5384	190/35298	0.447368421052632	2.93298858215375	11.3341047682893	3.15034521985681e-22	3.87098668889906e-20	3.08402216259667e-20	LOC110899387/LOC110899389/LOC110899391/LOC110899390/LOC110941576/LOC110864025/LOC110871436/LOC110880270/LOC110909497/LOC110904179/LOC110917217/LOC110935461/LOC110935627/LOC110935840/LOC110890473/LOC110937000/LOC110936966/LOC110941385/LOC110864936/LOC110937266/LOC118479320/LOC110865962/LOC110868308/LOC110921955/LOC110868685/LOC110869534/LOC110878293/LOC118482086/LOC110880092/LOC110880093/LOC110880086/LOC110880160/LOC110880159/LOC110880158/LOC110880157/LOC110876993/LOC110884252/LOC110884254/LOC110884351/LOC110884350/LOC110884357/LOC110884361/LOC110884383/LOC110885555/LOC110885676/LOC110885681/LOC110885680/LOC110889980/LOC110888048/LOC110890022/LOC110890036/LOC110890479/LOC110890476/LOC118483805/LOC110890466/LOC110890465/LOC110891091/LOC110895112/LOC110895813/LOC110898479/LOC110899238/LOC110899229/LOC110899319/LOC110903963/LOC110907461/LOC110903956/LOC110903957/LOC110907699/LOC110904649/LOC110909968/LOC118487252/LOC110909967/LOC110909966/LOC110911317/LOC110909965/LOC110911781/LOC110911782/LOC110918014/LOC110864657/LOC110864658/LOC110940927/LOC110909969/LOC110922946/LOC110921436/LOC110921786	85
protein serine/threonine kinase activity	protein serine/threonine kinase activity	protein serine/threonine kinase activity	147/5384	475/35298	0.309473684210526	2.02893798388989	9.57827036295979	3.57631756660507e-18	3.90613351996976e-16	3.1120237070809e-16	LOC110867987/LOC110867991/LOC110885804/LOC110930674/LOC110876521/LOC110876515/LOC110876504/LOC110879217/LOC110882950/LOC110928518/LOC110932567/LOC110930741/LOC110930888/LOC110936137/LOC110936185/LOC110936449/LOC110936453/LOC110937157/LOC110940468/LOC110940556/LOC110941462/LOC110944057/LOC110942144/LOC110872341/LOC110944500/LOC110865680/LOC110867887/LOC110895556/LOC110895555/LOC110922929/LOC110868661/LOC110927133/LOC110869055/LOC110869070/LOC110872101/LOC110872472/LOC110869793/LOC110869792/LOC110872489/LOC110872488/LOC110872486/LOC110872483/LOC110872484/LOC110944046/LOC110872478/LOC110872476/LOC110872477/LOC110872475/LOC110872525/LOC110872526/LOC110873575/LOC110875316/LOC110877225/LOC110877241/LOC110877242/LOC110877246/LOC110877247/LOC118481981/LOC110877291/LOC110877292/LOC110877290/LOC118482010/LOC110865993/LOC110875884/LOC110875682/LOC110876679/LOC110879406/LOC110879407/LOC110883801/LOC110884082/LOC110884288/LOC110885584/LOC110881622/LOC110885012/LOC110885370/LOC110886469/LOC110889908/LOC110887960/LOC110887962/LOC110889911/LOC110889909/LOC110889910/LOC110890004/LOC110888001/LOC110888003/LOC110889945/LOC110889944/LOC110889938/LOC110889939/LOC110889936/LOC110889935/LOC110887988/LOC110889931/LOC110920837/LOC110890029/LOC110888078/LOC110916902/LOC110888082/LOC110888083/LOC110890253/LOC110890651/LOC110890788/LOC110888695/LOC110888698/LOC110893860/LOC110894196/LOC110894640/LOC110894657/LOC110894899/LOC110894900/LOC110894902/LOC110894905/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110897368/LOC110900405/LOC110897734/LOC110898161/LOC110901384/LOC110903223/LOC110899792/LOC110899980/LOC110899983/LOC110899952/LOC110912331/LOC110908601/LOC118486512/LOC110908917/LOC110908919/LOC110903782/LOC110903832/LOC110903830/LOC110895392/LOC110904183/LOC110907717/LOC110907718/LOC110910640/LOC110911253/LOC118487489/LOC110909867/LOC110913921/LOC110917989/LOC110915714/LOC110926512/LOC110889899	147
methylation	methylation	methylation	51/5384	98/35298	0.520408163265306	3.41184386087273	10.14320197358	2.28810695888807e-17	2.24920914058697e-15	1.7919490288555e-15	LOC110923123/LOC110899290/LOC110926259/LOC110926270/LOC110928540/LOC110890009/LOC110941120/LOC110939393/LOC110872346/LOC110872347/LOC110878856/LOC110878855/LOC110878878/LOC110878877/LOC110878876/LOC110883878/LOC110883877/LOC110880491/LOC110883924/LOC110883923/LOC110924160/LOC110880488/LOC110880664/LOC110883913/LOC110883919/LOC110889462/LOC110889463/LOC110890669/LOC110873171/LOC110926806/LOC110911355/LOC110911354/LOC110912701/LOC110935947/LOC110935949/LOC110920169/LOC110918576/LOC110918558/LOC110918619/LOC110918613/LOC110918606/LOC110918600/LOC110920185/LOC110920184/LOC110918643/LOC110920883/LOC110925529/LOC110925135/LOC110923517/LOC110923361/LOC110922968	51
