module	gene_number
turquoise	2209
blue	1600
grey	301
brown	268
yellow	147
black	128
red	128
green	108
magenta	97
pink	89
purple	80
greenyellow	69
tan	68
salmon	56
midnightblue	55
darkred	51
darkturquoise	51
lightgreen	46
lightcyan	45
cyan	43
grey60	42
darkgreen	41
skyblue	41
darkolivegreen	38
darkgrey	37
orange	37
royalblue	37
white	34
saddlebrown	33
violet	33
lightyellow	32
steelblue	32
paleturquoise	30
sienna3	30
skyblue3	30
darkmagenta	29
darkorange	28
yellowgreen	27
lightsteelblue1	25
plum1	25
orangered4	23
ivory	17
lightcyan1	15
mediumpurple3	9
