Group	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
All_Outliers	ADP binding	ADP binding	232/5997	447/25972	0.519015659955257	2.2477696715621	14.58052890332	1.38821116959432e-40	1.35211767918487e-37	1.07695961262212e-37	LOC110887746/LOC110921803/LOC110923780/LOC110923788/LOC110927193/LOC110927184/LOC110900634/LOC110927186/LOC110926628/LOC110927210/LOC110927215/LOC110927243/LOC110931303/LOC110931297/LOC110928753/LOC110928898/LOC110929734/LOC110935505/LOC110935529/LOC110932752/LOC110935557/LOC110932758/LOC110932760/LOC110935564/LOC110935571/LOC110942792/LOC110942986/LOC110942177/LOC110925405/LOC110866856/LOC110871763/LOC110871778/LOC110870752/LOC110871773/LOC110871800/LOC110871799/LOC110884542/LOC110941878/LOC110875213/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110875237/LOC110877151/LOC110877161/LOC110874099/LOC110875259/LOC110925486/LOC110924474/LOC110875323/LOC110877208/LOC110875300/LOC110877202/LOC110898036/LOC110877008/LOC110874027/LOC110877005/LOC110875280/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877198/LOC110875286/LOC110875284/LOC110877191/LOC110877223/LOC110877227/LOC110877237/LOC110877300/LOC110931388/LOC110877402/LOC110908207/LOC110932766/LOC110894014/LOC110899273/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110899847/LOC110899845/LOC110899843/LOC110902034/LOC110899868/LOC110902036/LOC110899940/LOC110902093/LOC110902094/LOC110902095/LOC110902096/LOC110899943/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110902134/LOC110899972/LOC110899968/LOC118485509/LOC110902117/LOC110902116/LOC110899966/LOC110923178/LOC110921543/LOC118485512/LOC110899948/LOC110899951/LOC110899903/LOC110900021/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110900057/LOC110902167/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902303/LOC110900247/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902342/LOC110902341/LOC110902340/LOC110902339/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110913241/LOC110886338/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900181/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900162/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110902365/LOC110900361/LOC110900362/LOC110900364/LOC110902369/LOC118486345/LOC110905206/LOC110904715/LOC110910874/LOC110913520/LOC110871754/LOC110894248/LOC110912419/LOC110912421/LOC110912767/LOC110916258/LOC110915844/LOC110937773/LOC110919752/LOC110921209/LOC110920725/LOC110922050/LOC110920722/LOC110865814/LOC118489208/LOC118489712/LOC110929094	232
All_Outliers	defense response to other organism	defense response to other organism	135/5997	251/25972	0.537848605577689	2.32933199667563	11.5956303105044	4.28337588650613e-26	2.08600405672849e-23	1.66149896229211e-23	LOC110942986/LOC110866856/LOC110941878/LOC110932766/LOC110894014/LOC110899499/LOC110899549/LOC110899661/LOC110899695/LOC110899847/LOC110899845/LOC110899843/LOC110902034/LOC110899868/LOC110899940/LOC110902093/LOC110902094/LOC110902095/LOC110902096/LOC110899943/LOC110899945/LOC110899946/LOC110899975/LOC110899976/LOC110899981/LOC110902128/LOC110902132/LOC110899972/LOC110899968/LOC118485509/LOC110902117/LOC110902116/LOC110899966/LOC110923178/LOC110921543/LOC118485512/LOC110899948/LOC110899951/LOC110899903/LOC110900021/LOC110900024/LOC110900029/LOC110902166/LOC110900027/LOC110900026/LOC110900057/LOC110902167/LOC110900066/LOC110900094/LOC110900300/LOC110900299/LOC110900294/LOC110900296/LOC110900295/LOC118485531/LOC110900282/LOC110900283/LOC110900284/LOC110902312/LOC110900258/LOC110902309/LOC110902307/LOC110900253/LOC110900250/LOC110902352/LOC110926620/LOC110893159/LOC110902350/LOC110913233/LOC110902348/LOC110902347/LOC110902346/LOC110902345/LOC118479247/LOC118479246/LOC110902339/LOC118485934/LOC118479245/LOC110900308/LOC110875961/LOC110930165/LOC110913238/LOC110913241/LOC110886338/LOC110886334/LOC110865943/LOC110902253/LOC110908409/LOC118479251/LOC118479332/LOC110908444/LOC110908973/LOC110902252/LOC110900191/LOC110902249/LOC110902247/LOC110900180/LOC118485938/LOC110902242/LOC110902240/LOC118479243/LOC110902238/LOC110900168/LOC110900167/LOC110900165/LOC110900159/LOC110900679/LOC110900677/LOC110900675/LOC110900673/LOC118479387/LOC118479386/LOC110900668/LOC110900667/LOC110894040/LOC118479248/LOC110927204/LOC110927203/LOC110927201/LOC110900360/LOC110902365/LOC110900361/LOC110900362/LOC110900364/LOC110902369/LOC110910874/LOC110915844/LOC110919752/LOC110921209/LOC110920725/LOC110922050/LOC110920722/LOC118489208/LOC118489712/LOC110929094	135
All_Outliers	protein serine/threonine kinase activity	protein serine/threonine kinase activity	169/5997	432/25972	0.391203703703704	1.6942375508742	7.97273802985657	4.29117007526913e-14	1.20018379544409e-11	9.55944512311999e-12	LOC110941748/LOC110885804/LOC110930674/LOC110876521/LOC110876515/LOC110876504/LOC110876620/LOC110879217/LOC110882950/LOC110911338/LOC110935481/LOC110927115/LOC110928518/LOC110928593/LOC110929045/LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110930447/LOC110930741/LOC110930888/LOC110930886/LOC110931026/LOC110933173/LOC110936449/LOC110936453/LOC110936794/LOC110936576/LOC110937157/LOC110937634/LOC110943061/LOC110940556/LOC110944057/LOC110942144/LOC110872341/LOC110864587/LOC110864757/LOC110864929/LOC110944500/LOC110864973/LOC110865376/LOC110865377/LOC110865375/LOC110865594/LOC110865680/LOC110868469/LOC110868515/LOC110868553/LOC110927133/LOC110868712/LOC110872101/LOC110872353/LOC110872400/LOC110869793/LOC110872489/LOC110872488/LOC110872486/LOC110872483/LOC110872484/LOC110944046/LOC110872476/LOC110872477/LOC110872475/LOC110872526/LOC110873217/LOC110873575/LOC110877153/LOC110877291/LOC110877292/LOC110877290/LOC118482010/LOC110875884/LOC110875682/LOC110879756/LOC110883992/LOC110884288/LOC110885040/LOC110881176/LOC110885482/LOC110885370/LOC110882791/LOC110889137/LOC110887960/LOC110887962/LOC110889909/LOC110889910/LOC110889938/LOC110887980/LOC110920837/LOC110890062/LOC110890066/LOC110890418/LOC110890253/LOC110890651/LOC110890888/LOC110891364/LOC110894784/LOC110894807/LOC110894993/LOC110892910/LOC110892908/LOC110886482/LOC110897736/LOC110898060/LOC110898635/LOC110899980/LOC110899983/LOC110899952/LOC110899969/LOC110900112/LOC110900365/LOC110907978/LOC110908473/LOC110908480/LOC110906781/LOC110941994/LOC110880922/LOC110884364/LOC110912331/LOC110908601/LOC110906884/LOC110908594/LOC110908593/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110908919/LOC110903661/LOC110907412/LOC110907410/LOC110903783/LOC110903782/LOC110907408/LOC118486556/LOC110903780/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110904184/LOC110904183/LOC110904767/LOC110910059/LOC110910375/LOC110910640/LOC110911253/LOC110911627/LOC110911628/LOC110911884/LOC110911885/LOC110913905/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921/LOC110912035/LOC110915025/LOC110917951/LOC110915880/LOC110915551/LOC110921925/LOC110926085/LOC110922527	169
All_Outliers	protein autophosphorylation	protein autophosphorylation	155/5997	387/25972	0.400516795865633	1.7345709891983	7.97745771606628	4.92888622358968e-14	1.20018379544409e-11	9.55944512311999e-12	LOC110866405/LOC110878754/LOC110867206/LOC110924735/LOC110927037/LOC110927036/LOC110928668/LOC110929037/LOC110929059/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110930824/LOC110939818/LOC110942887/LOC110942886/LOC110940993/LOC118479529/LOC110899462/LOC110868253/LOC110866787/LOC110869263/LOC110872972/LOC110870457/LOC110870459/LOC110941991/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110878478/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110885027/LOC110885524/LOC110882207/LOC110882208/LOC110882209/LOC110885451/LOC110886353/LOC110886343/LOC110886380/LOC110886847/LOC110886967/LOC110886970/LOC110889148/LOC118484368/LOC110891181/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC118484245/LOC110893688/LOC110897402/LOC110897592/LOC110897690/LOC110899275/LOC110899329/LOC110899333/LOC110899321/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898703/LOC110899486/LOC110899783/LOC110940205/LOC110906862/LOC118486504/LOC110908713/LOC110905078/LOC110909911/LOC110929087/LOC110912357/LOC110915941/LOC110908861/LOC110916330/LOC110922612/LOC110912955/LOC110914617/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489682/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	155
All_Outliers	transmembrane receptor protein tyrosine kinase activity	transmembrane receptor protein tyrosine kinase activity	131/5997	315/25972	0.415873015873016	1.8010761994754	7.83779923934792	1.72958861289769e-13	3.36923861792471e-11	2.68359327938021e-11	LOC110878754/LOC110927037/LOC110927036/LOC110928668/LOC110929037/LOC110929842/LOC110929843/LOC110929912/LOC110929911/LOC110942887/LOC110942886/LOC118479529/LOC110870457/LOC110870459/LOC110877402/LOC110875886/LOC110875888/LOC110874416/LOC110875891/LOC110877635/LOC110923596/LOC110926255/LOC110923353/LOC110922308/LOC110882207/LOC110882208/LOC110882209/LOC110885451/LOC110886353/LOC110886343/LOC110886380/LOC110886847/LOC110886967/LOC110886970/LOC118484368/LOC110891181/LOC110888852/LOC118484169/LOC110891179/LOC118484265/LOC110891173/LOC110891172/LOC110888849/LOC110890954/LOC110891369/LOC110891423/LOC110891424/LOC118484329/LOC110891442/LOC118484209/LOC110888983/LOC110891477/LOC110891478/LOC110891457/LOC110888990/LOC110888995/LOC118484214/LOC118484215/LOC118484216/LOC118484218/LOC118484219/LOC118484342/LOC118484220/LOC118484225/LOC118484226/LOC118484350/LOC118484233/LOC118484353/LOC110896723/LOC118484235/LOC118484236/LOC118484237/LOC118484360/LOC118484238/LOC118484240/LOC118484241/LOC110891497/LOC110889020/LOC110889018/LOC110889032/LOC118484245/LOC110893688/LOC110897690/LOC110899275/LOC110899329/LOC110899333/LOC110899321/LOC110901706/LOC118485859/LOC110899345/LOC110899344/LOC110898703/LOC110899486/LOC110940205/LOC110906862/LOC118486504/LOC110908713/LOC110912357/LOC110915941/LOC110908861/LOC110922612/LOC110912955/LOC110914617/LOC118489673/LOC110891449/LOC118489674/LOC118489675/LOC118489677/LOC118489668/LOC110887495/LOC110891461/LOC110888994/LOC118489679/LOC118489670/LOC118489680/LOC118489681/LOC110891462/LOC110894290/LOC110891459/LOC118489672/LOC118489682/LOC118489683/LOC110900660/LOC118489685/LOC110889008/LOC118489687/LOC118489688/LOC110891447/LOC110888987/LOC118489707/LOC110890537	131
All_Outliers	chromatin	chromatin	50/5997	87/25972	0.574712643678161	2.48898395557932	7.62243143083275	5.22840653438544e-12	8.4874466074857e-10	6.76023792252995e-10	LOC110864993/LOC110944111/LOC110881881/LOC110881796/LOC110881846/LOC110933011/LOC110882925/LOC110884355/LOC110884310/LOC110916085/LOC110890289/LOC110930023/LOC110930350/LOC110930351/LOC110936387/LOC110937904/LOC110939759/LOC110940261/LOC110941305/LOC110865212/LOC110896141/LOC110878568/LOC110879789/LOC110879252/LOC110879694/LOC110880116/LOC110884257/LOC110922488/LOC110880939/LOC110891525/LOC110897552/LOC110893937/LOC110895866/LOC110897732/LOC110898721/LOC110899404/LOC110899405/LOC110899997/LOC110899996/LOC110908394/LOC110908467/LOC110908913/LOC110903922/LOC110911159/LOC110911866/LOC110911863/LOC110918655/LOC110915385/LOC110866977/LOC110921400	50
All_Outliers	transcription coregulator activity	transcription coregulator activity	50/5997	88/25972	0.568181818181818	2.46070004699319	7.52063740299125	9.394714525159e-12	1.30720742107212e-09	1.04118866241236e-09	LOC110864993/LOC110872969/LOC110883618/LOC110929172/LOC110930015/LOC110931060/LOC110935628/LOC118491435/LOC110937904/LOC110939759/LOC110940261/LOC110941154/LOC110864413/LOC110864899/LOC110899463/LOC110871767/LOC110872807/LOC110879789/LOC110884148/LOC110884442/LOC110886431/LOC110886723/LOC110886915/LOC110922488/LOC110893876/LOC110894169/LOC110894199/LOC110894263/LOC110894269/LOC110896128/LOC110897732/LOC110899205/LOC110899252/LOC110899567/LOC110900385/LOC110908467/LOC110908726/LOC110908999/LOC110907369/LOC110904598/LOC110910240/LOC110910791/LOC110911866/LOC110911863/LOC118487271/LOC110918924/LOC110922455/LOC110923453/LOC110922099/LOC110921986	50
All_Outliers	cell surface receptor signaling pathway	cell surface receptor signaling pathway	56/5997	105/25972	0.533333333333333	2.30977711077761	7.36863392296595	1.75314659366715e-11	2.13445597778975e-09	1.70009084149038e-09	LOC110930406/LOC110930407/LOC110930410/LOC110930412/LOC110932422/LOC110930415/LOC110930447/LOC110933173/LOC110943061/LOC110868993/LOC110877291/LOC110877292/LOC118482010/LOC110878476/LOC110885040/LOC110895283/LOC110897736/LOC110908473/LOC110908480/LOC110906781/LOC110941994/LOC110880922/LOC110884364/LOC110912331/LOC110908601/LOC110906884/LOC110908594/LOC110908593/LOC110908592/LOC110908590/LOC110906824/LOC110908917/LOC110908919/LOC110903661/LOC110907412/LOC110907410/LOC110903783/LOC110903782/LOC110907408/LOC118486556/LOC110903780/LOC110903775/LOC110903832/LOC110903830/LOC110895392/LOC110912704/LOC110913905/LOC118487489/LOC110913888/LOC110911981/LOC110911980/LOC110909867/LOC110913921/LOC110918126/LOC110918125/LOC110915517	56
All_Outliers	signal transduction	signal transduction	129/5997	327/25972	0.394495412844037	1.7084933904261	7.06441646743798	2.1730642551817e-11	2.35173842727442e-09	1.87315597201043e-09	LOC110885804/LOC110876620/LOC110879217/LOC110881770/LOC110919690/LOC110923780/LOC110923788/LOC110927106/LOC110928593/LOC110931303/LOC110931297/LOC110931304/LOC110928753/LOC110929045/LOC110929620/LOC110929734/LOC110929809/LOC110898433/LOC110930346/LOC110930888/LOC110935505/LOC110935529/LOC110935557/LOC110935562/LOC110935564/LOC110935571/LOC110941292/LOC110936735/LOC110936794/LOC110937157/LOC110937512/LOC110938141/LOC110942792/LOC110941313/LOC110941312/LOC110942373/LOC110864757/LOC110864973/LOC110865596/LOC110865594/LOC110937987/LOC110868469/LOC110868674/LOC110871565/LOC110871763/LOC110871778/LOC110869417/LOC110871773/LOC110871800/LOC110871799/LOC118479289/LOC110873217/LOC110875213/LOC110877124/LOC110875206/LOC110877132/LOC110877134/LOC110877131/LOC110875232/LOC110875226/LOC110875225/LOC110877148/LOC110875240/LOC110877146/LOC110877151/LOC110877161/LOC110877153/LOC110874099/LOC118481654/LOC110925469/LOC110924474/LOC110875323/LOC110875303/LOC118481657/LOC110877204/LOC110877202/LOC110898036/LOC110874027/LOC110877005/LOC110874115/LOC110875281/LOC110874113/LOC110877186/LOC110877185/LOC110875305/LOC110877199/LOC110877200/LOC110877198/LOC110875287/LOC110875284/LOC110877223/LOC110877227/LOC110877237/LOC110877300/LOC110877402/LOC110889255/LOC110883935/LOC110885482/LOC110886219/LOC110883319/LOC110886853/LOC110890165/LOC110890253/LOC110885378/LOC110890651/LOC110890888/LOC110891284/LOC110894801/LOC110895101/LOC110895518/LOC110895689/LOC110898398/LOC110899273/LOC110899980/LOC110899983/LOC110899952/LOC110900365/LOC110904112/LOC110910375/LOC110911248/LOC110913520/LOC110871754/LOC110894248/LOC110912767/LOC118488230/LOC110918067/LOC110923355/LOC110923354/LOC110920831	129
All_Outliers	protein phosphatase type 2A complex	protein phosphatase type 2A complex	27/5997	36/25972	0.75	3.24812406203102	7.39584825907663	6.13348259884898e-11	5.9740120512789e-09	4.75829123721231e-09	LOC110881770/LOC110908700/LOC110929620/LOC110898433/LOC110935568/LOC110938141/LOC110940432/LOC110941036/LOC110941676/LOC110865079/LOC110865596/LOC110868293/LOC110868674/LOC110871565/LOC110872307/LOC110880207/LOC110886540/LOC110886853/LOC110889185/LOC110891284/LOC110894221/LOC110869096/LOC110895101/LOC110898398/LOC110904112/LOC110911248/LOC110921398	27
